IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
7515432;KONSTANTIN KOROTKOV;;;;;;16,71;0,000;16,710;1976-07;0;;RR;German Democratic Republic;0;1976-07;4,53;0;  Unknown;9991001;;0,000;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5640;1974-11;0,000;2019-03-03;1975-04;124,950;273365080;Vodohod LLC;5700788;1974-07;Oil Engine(s), Direct Drive;0;Vodohod LLC;5700788;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Vodohod LLC;5700788;In Service/Commission;  Unknown;9991001;0;1976
7516280;DAYBREAK;;;;;;11,02;11,050;11,020;1976-02;0;PD3027;;Germany, Federal Republic Of;4899;1976-02;0;0;  Unknown;9991001;;3,201;320;Motoren Werke Mannheim AG (MWM) - West Germany;6;MWM;TBD484-6;480;4;Oil;1;375;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;2650;1975-00;0,000;2018-09-25;1975-12;105,030;244670935;Rptd Sold Undisclosed Interest;9991942;1974-02;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;General Cargo, Inland Waterways;;Ebert;GFR194057;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1976
7523752;TICHIY DON;;;;;;16,69;16,720;16,690;1977-03;144;UBGB6;RR;German Democratic Republic;0;1977-03;4,53;0;  Unknown;9991001;;0,000;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5640;1975-05;0,000;2019-03-03;1975-10;124,920;273434270;Rptd Sold Undisclosed Interest;9991942;1975-03;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1977
7530080;ASCENSION;;;;;;18,29;0,000;18,290;1977-06;0;WDD3969;;United States Of America;1062;1977-06;3,51;0;  Unknown;9991001;;0,000;159;Caterpillar Tractor Co - USA;12;Caterpillar;D398;203;4;Oil;1;1225;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Louisiana Transportation;United States Of America;787;1975-10;0,000;2018-01-04;1976-11;51,360;;Louisiana Transportation;0595029;1975-06;Oil Engine(s), Direct Drive;0;Louisiana Transportation;0595029;0;;;0;0,00;Passenger/Ro-Ro Ship (Vehicles), Inland Waterways;;Wall;USAE89050;Louisiana Transportation;0595029;In Service/Commission;Louisiana Transportation;0595029;0;1977
7608526;PETR CHAYKOVSKIY;;;;;;16,71;0,000;16,710;1977-05;0;;RR;German Democratic Republic;0;1977-05;4,53;0;  Unknown;9991001;;0,000;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5640;1975-10;0,000;2019-03-03;1976-03;125,080;273331150;Rptd Sold Undisclosed Interest;9991942;1975-05;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1977
7617785;NIZHNY NOVGOROD;;;;;;16,68;16,690;16,680;1977-09;0;UAIF2;RR;German Democratic Republic;0;1977-09;4,5;0;  Unknown;9991001;;0,000;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5640;1976-04;0,000;2019-03-04;1976-09;124,970;273355940;Vodohod LLC;5700788;1975-09;Oil Engine(s), Direct Drive;0;Vodohod LLC;5700788;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Vodohod LLC;5700788;In Service/Commission;  Unknown;9991001;0;1977
7638155;ROSSIYA;;;;;;16,69;0,000;16,690;1978-06;0;UBJC5;RR;German Democratic Republic;0;1978-06;4,53;0;  Unknown;9991001;;0,000;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5640;1976-10;0,000;2019-03-04;1977-07;125,000;273436890;Rptd Sold Undisclosed Interest;9991942;1976-06;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1978
7646023;FLANDRIA 18;PERKINS;PERKINS;;4;22;6,61;6,990;6,610;1964-00;0;OT2606;LR;Belgium;0;1964-00;3,1;0;  Unknown;9991001;20080401;0,000;137;Caterpillar Tractor Co - USA;6;Caterpillar;D343;165;4;Oil;1;2200;Belgium;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Brabo CVBA;Belgium;292;;0,000;2018-07-20;;35,390;205260690;Vlamo NV Flandria;0630130;1962-00;Oil Engine(s), Geared Drive;0;Brabo Havenloodsen;5573902;0;;;0;0,00;Passenger Ship, Inland Waterways;;Smidts;BLG016030;Antwerp Water Services;5296075;In Service/Commission;  Unknown;9991001;0;1964
7646059;ANTVERPIA 17;;;;;;7,00;7,370;7,000;1963-00;0;OT2605;;Belgium;0;1963-00;3,15;0;  Unknown;9991001;;2,159;159;Caterpillar Tractor Co - USA;12;Caterpillar;D398SCAC;203;4;Oil;1;1300;Belgium;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;353;;0,000;2018-07-19;;38,990;205260590;De Groene Weg BVBA;5855269;1960-01;Oil Engine(s), Geared Drive;0;De Groene Weg BVBA;5855269;0;;;0;0,00;Passenger Ship, Inland Waterways;;Rupelmonde;BLG006028;De Groene Weg BVBA;5855269;In Service/Commission;  Unknown;9991001;0;1963
7706677;VLADIMIR MAYAKOVSKIY;;;;;;16,71;0,000;16,710;1978-09;0;;RR;German Democratic Republic;0;1978-09;4,53;0;  Unknown;9991001;;0,000;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Kama River Shipping Co;Russia;5640;1977-07;0,000;2019-03-04;1977-11;124,950;273999988;Kama Shipping Co Ltd;1813411;1976-09;Oil Engine(s), Direct Drive;0;Kama Shipping Co Ltd;1813411;0;;;0;10,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Vassilev Maritime Nakliyat;1883261;In Service/Commission;  Unknown;9991001;0;1978
