IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9523586;MEISYO MARU;;;;;;11.50;0.000;11.500;2010-03;0;JD3044;NK;Japan;1140;2010-03;4.9;0;Meisho Kaiun KK;0248589;20180311;4.131;310;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;A31R;600;4;Oil;1;290;Japan;107.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;1430;Meisho Kaiun KK;0248589;749;2009-09;0.000;2017-04-13;2009-12;67.900;431001216;Meisho Kaiun KK;0248589;2008-01;Oil Engine(s). Geared Drive;0;Meisho Kaiun KK;0248589;0;;;491;12.50;LPG Tanker;LPG-Small Gas Carrier;Kegoya;JPN113022;Meisho Kaiun KK;0248589;In Service/Commission;Meisho Kaiun KK;0248589;0;2010
9523732;HIYOSHI MARU NO. 17;;;;;;11.50;0.000;11.500;2009-09;0;JD2954;NK;Japan;1140;2009-09;4.9;0;Hiyoshi Kaiun YK;0221181;20190902;4.130;310;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;A31R;600;4;Oil;1;290;Japan;107.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;1430;Hiyoshi Kaiun YK;0221181;749;2009-01;0.000;2017-04-13;2009-05;67.900;431000991;Tabuchi Kaiun Co Ltd;0292741;2007-00;Oil Engine(s). Geared Drive;0;Hiyoshi Kaiun YK;0221181;0;;;490;12.50;LPG Tanker;LPG-Small Gas Carrier;Kegoya;JPN113022;Hiyoshi Kaiun YK;0221181;In Service/Commission;Hiyoshi Kaiun YK;0221181;0;2009
9523744;KOSHO MARU;;;;;;11.50;0.000;11.500;2010-09;0;JD3102;NK;Japan;1140;2010-09;4.9;0;Ogaki Kaiun KK;0616171;20180831;4.130;310;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;A31R;600;4;Oil;1;290;Japan;108.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;1430;Tabuchi Kaiun Co Ltd;0292741;749;2010-01;0.000;2017-04-13;2010-05;67.900;431001659;Tabuchi Kaiun Co Ltd;0292741;2008-01;Oil Engine(s). Geared Drive;0;Ogaki Kaiun KK;0616171;0;;;477;12.50;LPG Tanker;LPG-Small Gas Carrier;Kegoya;JPN113022;Ogaki Kaiun KK;0616171;In Service/Commission;Ogaki Kaiun KK;0616171;0;2010
9523794;RUN XIANG;;;;;;17.80;0.000;17.800;2010-01;0;3FWA7;NK;Japan;5202;2010-01;8;8047;Fleet Management Ltd-HKG;1601573;20180102;6.166;350;The Hanshin Diesel Works Ltd - Japan;5;MAN-B&W;5L35MC;1050;2;Oil;1;210;Panama;180.00;650.00;0.00;0.00;Distillate Fuel;Residual Fuel;4920;Sinopec Hong Kong Petroleum;2074051;4410;2009-06;34.200;2018-11-23;2009-11;99.980;370421000;Sinopec Hong Kong Ltd;5494682;2007-00;Oil Engine(s). Direct Drive;0;Run Xiang Shipping Inc;5717509;0;2013-01-22;$19000000;2108;14.00;LPG Tanker;LPG-Small Gas Carrier;Nakatani;JPN265152;Sinopec Hong Kong Ltd;5494682;In Service/Commission;Fleet Management Ltd-HKG;1601573;0;2010
9523809;MORNING BREEZE;;;;;;17.80;0.000;17.800;2010-06;0;3EZR6;NK;Japan;5202;2010-06;8;8047;Green Maritime Co Ltd;5465121;20180525;6.166;360;Daihatsu Diesel Manufacturing Co Lt - Japan;6;Daihatsu;6DKM-36;480;4;Oil;1;600;Panama;180.00;650.00;0.00;0.00;Distillate Fuel;Residual Fuel;4918;Toda Kisen KK;0296139;4410;2009-11;34.200;2018-09-21;2010-03;99.980;371603000;Toda Kisen KK;0296139;2007-00;Oil Engine(s). Geared Drive;0;Trio Happiness SA;1153256;0;;;2108;12.50;LPG Tanker;LPG-Small Gas Carrier;Nakatani;JPN265152;Toda Kisen KK;0296139;In Service/Commission;Green Maritime Co Ltd;5465121;0;2010
9523811;MORNING CALM;;;;;;17.80;0.000;17.800;2010-11;0;3EVT2;NK;Japan;5212;2010-11;8;7839;Dongkuk Marine Co Ltd;1708871;20181026;6.165;350;Makita Corp - Japan;5;MAN-B&W;5L35MC;1050;2;Oil;1;210;Panama;180.00;650.00;0.00;0.00;Distillate Fuel;Residual Fuel;4919;Toda Kisen KK;0296139;4410;2010-05;33.256;2018-08-31;2010-07;99.980;371401000;Toda Kisen KK;0296139;2008-04;Oil Engine(s). Direct Drive;0;Trio Happiness SA;1153256;0;;;2107;12.50;LPG Tanker;LPG-Small Gas Carrier;Nakatani;JPN265152;Toda Kisen KK;0296139;In Service/Commission;Dongkuk Marine Co Ltd;1708871;0;2010
9523823;SHUN YUAN 18;;;;;;14.80;0.000;14.800;2008-11;0;BJKR;CC;China. People's Republic Of;3023;2008-11;7.2;0;  Unknown;9991001;20181117;5.400;330;Qingdao Zichai Boyang Diesel Engine Co Ltd - China;6;Yanmar;6N330-EN;440;4;Oil;1;620;China. People's Republic Of;0.00;0.00;0.00;0.00;Distillate Fuel;Residual Fuel;3626;China Govt;0104538;2990;2007-11;0.000;2018-12-25;2008-06;99.960;413423420;Hainan Shunyuan Shipping Dev;5478342;2006-00;Oil Engine(s). Geared Drive;0;Hainan Shunyuan Shipping Dev;5478342;0;;;1397;13.20;LPG Tanker;LPG-Small Gas Carrier;Wuhan Nanhua Jiangbei Shipyard;CHR449080;Hainan Shunyuan Shipping Dev;5478342;In Service/Commission;Hainan Shunyuan Shipping Dev;5478342;0;2008
9525170;HELLE KOSAN;;;;;;16.60;16.851;16.600;2010-12;0;OYCN2;BV;China. People's Republic Of;3811;2010-12;7.832;6775;Lauritzen Kosan A/S;0237607;20181005;5.714;270;Zhenjiang Marine Diesel Works - China;8;MAN-B&W;8L27/38;380;4;Oil;1;800;Denmark (Dis);186.00;347.00;0.00;0.00;Distillate Fuel;Residual Fuel;3604;J Lauritzen A/S;0226704;3728;2009-04;30.000;2018-10-23;2010-02;99.960;219150000;Lauritzen Kosan A/S;0237607;2007-00;Oil Engine(s). Geared Drive;0;J Lauritzen Singapore Pte Ltd;5202557;0;;;1545;12.50;LPG Tanker;LPG-Small Gas Carrier;Yangzhou Kejin Shipyard Co Ltd;CHR192050;Lauritzen Kosan A/S;0237607;In Service/Commission;Lauritzen Kosan A/S;0237607;0;2010
9525182;MONICA KOSAN;;;;;;16.60;16.640;16.600;2011-03;0;2DGJ6;BV;China. People's Republic Of;3808;2011-03;7.8;6574;Lauritzen Kosan A/S;0237607;20190223;5.714;270;Zhenjiang Marine Diesel Works - China;8;MAN-B&W;8L27/38;380;4;Oil;1;800;Isle Of Man;178.00;347.00;0.00;0.00;Distillate Fuel;Residual Fuel;3604;J Lauritzen A/S;0226704;3728;2009-09;30.000;2018-12-28;2010-04;99.960;235078722;Lauritzen Kosan A/S;0237607;2008-06;Oil Engine(s). Geared Drive;0;J Lauritzen Singapore Pte Ltd;5202557;0;;;1545;12.50;LPG Tanker;LPG-Small Gas Carrier;Yangzhou Kejin Shipyard Co Ltd;CHR192050;Lauritzen Kosan A/S;0237607;In Service/Commission;Lauritzen Kosan A/S;0237607;0;2011
9525194;INGE KOSAN;;;;;;16.60;16.640;16.600;2011-06;0;2EJP8;BV;China. People's Republic Of;3796;2011-06;7.8;6574;Lauritzen Kosan A/S;0237607;20190528;5.714;270;Zhenjiang Marine Diesel Works - China;8;MAN-B&W;8L27/38;380;4;Oil;1;800;Isle Of Man;178.00;347.00;0.00;0.00;Distillate Fuel;Residual Fuel;3604;J Lauritzen A/S;0226704;3728;2010-02;30.000;2018-10-26;2010-08;99.960;235085682;Lauritzen Kosan A/S;0237607;2007-00;Oil Engine(s). Geared Drive;0;J Lauritzen Singapore Pte Ltd;5202557;0;;;1545;12.50;LPG Tanker;LPG-Small Gas Carrier;Yangzhou Kejin Shipyard Co Ltd;CHR192050;Lauritzen Kosan A/S;0237607;In Service/Commission;Lauritzen Kosan A/S;0237607;0;2011
9525209;LINDA KOSAN;;;;;;16.60;16.640;16.600;2011-10;0;OXSX2;BV;China. People's Republic Of;3774;2011-10;7.832;6548;Lauritzen Kosan A/S;0237607;20190822;5.714;270;Zhenjiang Marine Diesel Works - China;8;MAN-B&W;8L27/38;380;4;Oil;1;800;Denmark (Dis);186.00;347.00;0.00;0.00;Distillate Fuel;Residual Fuel;3604;J Lauritzen A/S;0226704;3728;2010-04;30.000;2018-03-29;2010-10;99.960;219048000;Lauritzen Kosan A/S;0237607;2008-06;Oil Engine(s). Geared Drive;0;J Lauritzen Singapore Pte Ltd;5202557;0;;;1545;12.50;LPG Tanker;LPG-Small Gas Carrier;Yangzhou Kejin Shipyard Co Ltd;CHR192050;Lauritzen Kosan A/S;0237607;In Service/Commission;Lauritzen Kosan A/S;0237607;0;2011
9525211;TRACEY KOSAN;;;;;;16.60;16.640;16.600;2011-11;0;OXAI2;BV;China. People's Republic Of;3791;2011-11;7.832;6729;  Unknown;9991001;20190928;5.714;270;Zhenjiang Marine Diesel Works - China;8;MAN-B&W;8L27/38;380;4;Oil;1;800;Denmark (Dis);186.00;347.00;0.00;0.00;Distillate Fuel;Residual Fuel;3604;J Lauritzen A/S;0226704;3728;2010-06;30.000;2018-09-21;2011-01;99.960;219129000;Lauritzen Kosan A/S;0237607;2008-06;Oil Engine(s). Geared Drive;0;J Lauritzen A/S;0226704;0;;;1545;12.50;LPG Tanker;LPG-Small Gas Carrier;Yangzhou Kejin Shipyard Co Ltd;CHR192050;Lauritzen Kosan A/S;0237607;In Service/Commission;Lauritzen Kosan A/S;0237607;0;2011
9525223;EMILY KOSAN;;;;;;16.60;16.640;16.600;2012-02;0;2FBT9;BV;China. People's Republic Of;3795;2012-02;7.8;6548;Lauritzen Kosan A/S;0237607;20170205;5.710;270;Zhenjiang Marine Diesel Works - China;8;MAN-B&W;8L27/38;380;4;Oil;1;800;Isle Of Man;186.00;347.00;0.00;0.00;Distillate Fuel;Residual Fuel;3604;J Lauritzen A/S;0226704;3728;2010-06;30.000;2018-12-14;2011-01;99.960;235089934;Lauritzen Kosan A/S;0237607;2008-06;Oil Engine(s). Geared Drive;0;J Lauritzen A/S;0226704;0;;;1545;12.50;LPG Tanker;LPG-Small Gas Carrier;Yangzhou Kejin Shipyard Co Ltd;CHR192050;Lauritzen Kosan A/S;0237607;In Service/Commission;Lauritzen Kosan A/S;0237607;0;2012
9526980;ORCHID CORAL;Yanmar;Yanmar;6NY16L-EN;4;441;16.00;16.240;16.000;2010-12;0;3FZG3;NK;Japan;3838;2010-12;7.2;6081;Swan Shipping Corp;1630221;20181213;5.413;330;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;5;Mitsubishi;5UEC33LSII;1050;2;Oil;1;210;Panama;96.00;409.00;0.00;0.00;Distillate Fuel;Residual Fuel;3448;AST Inc;0235101;3418;2009-12;30.500;2018-08-31;2010-08;97.690;351320000;Hemat Shipping Sdn Bhd;1589650;2008-04;Oil Engine(s). Direct Drive;0;Coral Canal SA;1103767;0;;;1649;13.30;LPG Tanker;LPG-Small Gas Carrier;Shitanoe Shipbuilding Co Ltd;JPN501050;Hemat Shipping Sdn Bhd;1589650;In Service/Commission;Swan Shipping Corp;1630221;0;2010
9526992;GAS CALACA;;;;;;17.60;17.630;17.600;2011-04;0;V7OT9;NK;Japan;5292;2011-04;8.1;8192;Thome Ship Management Pte Ltd;1185781;20190429;5.964;330;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Mitsubishi;6UEC33LSII;1050;2;Oil;1;215;Marshall Islands;134.00;600.00;0.00;0.00;Distillate Fuel;Residual Fuel;4917;  Unknown;9991001;4485;2010-09;31.160;2018-07-20;2010-12;106.000;538006590;Republic Logistics Ltd;6031711;2008-01;Oil Engine(s). Direct Drive;0;Republic Logistics Ltd;6031711;0;;;2104;13.50;LPG Tanker;LPG-Small Gas Carrier;Shitanoe Shipbuilding Co Ltd;JPN501050;Republic Logistics Ltd;6031711;In Service/Commission;Thome Ship Management Pte Ltd;1185781;0;2011
9527001;GAS ONE;;Yanmar;6N165L-EN;4;530;15.99;16.020;15.990;2011-06;0;3FJA;KR;Japan;3830;2011-06;7.2;6081;KSS Marine Co Ltd;5904569;20190825;5.413;330;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Mitsubishi;6UEC33LSII;1050;2;Oil;1;215;Panama;103.00;409.00;11.30;13.00;Distillate Fuel;Residual Fuel;3447;IBJ Leasing Co Ltd;1957635;3444;2010-11;30.320;2018-12-21;2011-02;97.690;353230000;KSS Line Ltd;1138807;2008-04;Oil Engine(s). Direct Drive;0;Orion Line Shipping SA;1470332;0;;;1711;13.30;LPG Tanker;LPG-Small Gas Carrier;Shitanoe Shipbuilding Co Ltd;JPN501050;KSS Line Ltd;1138807;In Service/Commission;KSS Marine Co Ltd;5904569;0;2011
9527013;SAEHAN VIRTUS;;;;;;16.00;0.000;16.000;2012-06;0;D5NP9;NK;Japan;3804;2012-06;7.2;6081;SM Management Co Ltd;5370149;20170604;5.400;350;Hitachi Zosen Corp - Japan;5;MAN-B&W;5L35MC;1050;2;Oil;1;210;Liberia;88.00;409.00;0.00;0.00;Distillate Fuel;Residual Fuel;3450;  Unknown;9991001;3428;2010-12;30.770;2018-12-14;2012-01;97.690;636017976;Saehan Marine Operation Co Ltd;5058001;2008-01;Oil Engine(s). Direct Drive;0;M Gas Corp;5754399;0;;;1727;13.50;LPG Tanker;LPG-Small Gas Carrier;Shitanoe Shipbuilding Co Ltd;JPN501050;Saehan Marine Operation Co Ltd;5058001;In Service/Commission;SM Management Co Ltd;5370149;0;2012
9528550;BUENA SUERTE;;;;;;15.00;0.000;15.000;2009-07;0;3FXP5;NK;Japan;3115;2009-07;7;5230;Lee & Shipping Co Ltd;5592969;20170715;5.483;410;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;A41;800;4;Oil;1;230;Panama;101.00;106.00;0.00;0.00;Distillate Fuel;Residual Fuel;3444;Tabuchi Kaiun Co Ltd;0292741;2997;2008-09;33.100;2019-01-03;2009-02;96.000;351312000;Tabuchi Kaiun Co Ltd;0292741;2007-00;Oil Engine(s). Direct Drive;0;SE Sea Shipping SA;5020642;0;;;893;14.00;LPG Tanker;LPG-Small Gas Carrier;Kanrei Naruto;JPN389155;Tabuchi Kaiun Co Ltd;0292741;In Service/Commission;Lee & Shipping Co Ltd;5592969;0;2009
9531466;NAVIGATOR GLORY;Hyundai Heavy Industries;Hyundai Himsen;6H21/32;4;960;25.50;25.530;25.500;2010-06;0;D5DP8;VL;Korea. South;16819;2010-06;16;24919;Navigator Gas Shipmanagement;5896038;20180713;8.817;500;Hyundai Heavy Industries Co Ltd - South Korea;5;MAN-B&W;5S50MC-C;2000;2;Oil;1;127;Liberia;193.00;911.00;0.00;0.00;Distillate Fuel;Residual Fuel;22149;Navigator Holdings Ltd;5416918;16823;2010-01;43.387;2019-01-11;2010-04;154.170;636015942;Navigator Gas LLC;5409142;2008-07;Oil Engine(s). Direct Drive;0;Navigator Glory LLC;5717693;0;;;8820;15.00;LPG Tanker;LPG-Medium Gas Carrier;Hyundai Heavy Inds - Ulsan;KRS014060;Navigator Gas LLC;5409142;In Service/Commission;Navigator Gas Shipmanagement;5896038;0;2010
9531478;NAVIGATOR GRACE;Hyundai Heavy Industries;Hyundai Himsen;6H21/32;4;960;25.50;25.520;25.500;2010-08;0;D5DP9;VL;Korea. South;16687;2010-08;16;24919;Navigator Gas Shipmanagement;5896038;20180822;8.817;500;Hyundai Heavy Industries Co Ltd - South Korea;5;MAN-B&W;5S50MC-C;2000;2;Oil;1;127;Liberia;193.00;911.00;0.00;0.00;Distillate Fuel;Residual Fuel;22149;Navigator Holdings Ltd;5416918;16823;2010-02;43.387;2017-08-07;2010-05;154.170;636015943;Navigator Gas LLC;5409142;2008-07;Oil Engine(s). Direct Drive;0;Navigator Grace LLC;5717716;0;2013-09-18;$54000000;8820;15.00;LPG Tanker;LPG-Medium Gas Carrier;Hyundai Heavy Inds - Ulsan;KRS014060;Navigator Gas LLC;5409142;In Service/Commission;Navigator Gas Shipmanagement;5896038;0;2010
9531507;NAVIGATOR GUSTO;Hyundai Heavy Industries;Hyundai Himsen;6H21/32;4;960;25.50;25.520;25.500;2011-04;0;D5DQ2;VL;Korea. South;16687;2011-04;16.02;24936;Navigator Gas Shipmanagement;5896038;20190417;8.800;500;MAN B&W Diesel AG - Augsburg;5;MAN-B&W;5S50MC-C;2000;2;Oil;1;127;Liberia;193.00;911.00;0.00;0.00;Distillate Fuel;Residual Fuel;22149;Navigator Holdings Ltd;5416918;16823;2010-10;43.387;2018-02-05;2011-01;154.000;636015944;Navigator Gas LLC;5409142;2008-07;Oil Engine(s). Direct Drive;0;Navigator Gusto LLC;5717702;0;2013-09-18;$56000000;8820;15.00;LPG Tanker;LPG-Medium Gas Carrier;Hyundai Heavy Inds - Ulsan;KRS014060;Navigator Gas LLC;5409142;In Service/Commission;Navigator Gas Shipmanagement;5896038;0;2011
