IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
6500038;PATRIOT SEJATI;;;;;;9.40;9.500;9.400;1965-01;0;PLNG;;Netherlands;1104;1965-01;4.2;0;  Unknown;9991001;;3.925;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;380;Indonesia;80.00;0.00;0.00;3.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;770;1964-09;0.000;18/04/2016;1964-10;63.450;;Trans Palm Nusantara;5195506;1963-09;Oil Engine(s). Direct Drive;0;Trans Palm Nusantara;5195506;0;;;0;11.50;Vegetable Oil Tanker;;Biesbosch;NTH026021;Trans Palm Nusantara;5195506;In Service/Commission;Trans Palm Nusantara;5195506;0;1965
6505325;SITULA;;;;;;10.42;10.440;10.420;1965-03;0;5NMN;;Germany. Federal Republic Of;2000;1965-03;6.01;0;  Unknown;9991001;;3.760;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;380;Nigeria;43.00;0.00;0.00;5.00;Yes. But Type Not Known;Not Applicable;0;  Unknown;9991001;1049;1964-09;19.700;06/10/2017;1964-12;69.800;;Upstream Shipping Ltd;5432793;1964-03;Oil Engine(s). Direct Drive;0;Upstream Shipping Ltd;5432793;0;;;0;11.50;Chemical/Products Tanker;;Rolandwerft Bremen;GFR039021;Upstream Shipping Ltd;5432793;In Service/Commission;Royal Marine & Spares Ltd;5484292;0;1965
6508511;TANIS;;;;;;8.39;8.490;8.390;1965-07;0;5IM473;IS;United Kingdom;698;1965-07;3.36;0;  Unknown;9991001;;2.896;222;Lister Blackstone Marine Ltd. - Dursley;6;Blackstone;ERS6;292;4;Oil;1;750;Tanzania (Zanzibar);15.00;0.00;0.00;1.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;385;;12.800;21/09/2017;;46.640;;Global Shipping & Marine Ltd;5952480;1962-07;Oil Engine(s). Geared Drive;0;Global Shipping & Marine Ltd;5952480;0;;;0;7.50;Chemical/Products Tanker;;Cook J.W. Wivenhoe;GBI023021;Global Shipping & Marine Ltd;5952480;In Service/Commission;  Unknown;9991001;0;1965
6513231;GRIGORIS P;;;;;;9.66;9.680;9.660;1965-07;0;SX6099;;Germany. Federal Republic Of;1040;1965-07;4.14;0;  Unknown;9991001;;3.779;310;Alpha Diesel A/S - Denmark;6;Alpha;496R;490;2;Oil;1;310;Greece;43.50;0.00;0.00;0.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;497;1965-01;0.000;17/04/2018;1965-04;63.960;237148100;Acheloos Naftiki Eteria;5626207;1962-07;Oil Engine(s). Direct Drive;0;Acheloos Naftiki Eteria;5626207;0;;;0;11.00;Chemical/Products Tanker;;Luerssen;GFR027019;Acheloos Naftiki Eteria;5626207;In Service/Commission;Acheloos Naftiki Eteria;5626207;0;1965
6600890;NAOMI;;;;;;14.48;14.530;14.480;1966-02;0;5NGN;;United Kingdom;5286;1990-10;8.21;0;  Unknown;9991001;;7.316;500;Helsingor Skibsvaerft og Maskinbyggeri A/S - Denmark;6;B&W;6-50VTBF-110;1100;2;Oil;1;170;Nigeria;0.00;508.00;0.00;15.00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;3666;;0.000;30/10/2018;;111.740;;Rptd Sold Nigeria;9992676;1963-02;Oil Engine(s). Direct Drive;0;Rptd Sold Nigeria;9992676;0;;;0;16.00;Chemical/Products Tanker;;Burntisland;GBI016019;Rptd Sold Nigeria;9992676;In Service/Commission;  Unknown;9991001;0;1966
6710023;SUN YANG No. 7;;;;;;8.51;8.540;8.510;1966-00;0;;;Japan;870;1966-12;4.07;0;  Unknown;9991001;;3.804;275;Fuji Diesel Co Ltd - Japan;6;Fuji;6SD27.5BH;410;4;Oil;1;;Korea. South;40.50;0.00;0.00;2.50;Yes. But Type Not Known;Not Applicable;0;  Unknown;9991001;484;;0.000;12/02/2015;;54.870;;Dong Bang;1339574;1964-00;Oil Engine(s). Direct Drive;0;Dong Bang;1339574;0;;;0;11.25;Chemical Tanker;;Taihei Akitsu;JPN180016;Dong Bang;1339574;In Service/Commission;Dong Bang;1339574;0;1966
6711065;SUMBER MUTIARA IV;;;;;;9.01;9.020;9.010;1967-01;0;PLZB;;Japan;999;1967-01;4.4;0;  Unknown;9991001;;4.001;330;Kanegafuchi Diesel - Japan;6;Kanegafuchi;B6D53EHSB;460;4;Oil;1;;Indonesia;35.50;0.00;0.00;3.00;Yes. But Type Not Known;Not Applicable;0;  Unknown;9991001;571;1966-12;0.000;20/03/2017;1967-01;54.410;;Rptd Sold Indonesia;9992588;1965-01;Oil Engine(s). Direct Drive;0;Rptd Sold Indonesia;9992588;0;;;0;12.50;Vegetable Oil Tanker;;Sasaki Shbldg - Osakikamijima;JPN165010;Rptd Sold Indonesia;9992588;In Service/Commission;  Unknown;9991001;0;1967
6806444;CHEMICAL PIONEER;;;;;;27.43;0.000;27.432;1968-08;0;KAFO;AB;United States Of America;35489;1968-08;14.33;47954;USS Vessel Management LLC;5026553;20061124;10.780;0;General Electric Co. - Lynn. Ma;;General Electric;YYYYYY;0;;Turbine;1;;United States Of America;120.00;1826.00;0.00;0.00;Distillate Fuel;Residual Fuel;0;US Shipping Corp;5394471;21760;1966-10;43.170;03/01/2019;1967-11;209.860;366032000;USCS Chemical Chartering;5073167;1964-02;Steam Turbine(s). Geared Drive;0;USCS Chemical Pioneer;5073171;0;;;11552;15.00;Chemical Tanker;;Bath;USA035035;USS Vessel Management LLC;5026553;In Service/Commission;USS Vessel Management LLC;5026553;0;1968
6807046;VITIM;;;;;;11.21;11.230;11.210;1968-03;0;UARR;;Germany. Federal Republic Of;2254;1979-00;4.96;3201;AzovTransTerminal Ltd;5260311;;4.360;320;Atlas-MaK Maschinenbau GmbH - Kiel;8;MaK;8MU451AK;450;4;Oil;1;428;Russia;0.00;0.00;0.00;4.00;Yes. But Type Not Known;Not Applicable;0;AzovTransTerminal Ltd;5260311;1530;;28.000;27/01/2017;;85.430;273444950;AzovTransTerminal Ltd;5260311;1965-06;Oil Engine(s). Direct Drive;0;AzovTransTerminal Ltd;5260311;0;;;0;12.00;Chemical/Products Tanker;;Menzer-Werft Geesthacht;GFR028040;AzovTransTerminal Ltd;5260311;In Service/Commission;AzovTransTerminal Ltd;5260311;0;1968
6807333;THEODOROS;;;;;;9.89;9.910;9.890;1967-01;0;;;France;980;1967-01;4.09;0;  Unknown;9991001;;3.739;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;7;MAN;G7V30/45ATL;450;4;Oil;1;500;Unknown;90.00;0.00;0.00;4.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;634;;0.000;27/05/2016;;62.790;;Eurotec;1909422;1964-01;Oil Engine(s). Geared Drive;0;Ivoire Shipping;5026465;0;;;0;12.00;Wine Tanker;;La Rochelle-Pallice;FRA013050;Eurotec;1909422;Laid-Up;Eurotec;1909422;0;1967
6815770;OREDEZH;;;;;;11.49;11.510;11.490;1968-00;0;UBFM5;;Netherlands;1415;1968-00;3.57;0;  Unknown;9991001;;3.569;320;Atlas-MaK Maschinenbau GmbH - Kiel;6;MaK;;450;4;Oil;1;375;Russia;136.50;0.00;0.00;4.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;494;;0.000;24/11/2017;;72.980;;Rptd Sold Undisclosed Interest;9991942;1965-01;Oil Engine(s). Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;12.00;Vegetable Oil Tanker;;Pattje Waterhuizen Bv;NTH061069;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1968
6818710;AKSHAY;;;;;;11.98;12.250;11.980;1968-08;0;;;Netherlands;2223;1968-08;5.62;0;Veesham Shipping Inc;5090593;;5.004;400;NV Motorenfabriek 'De Industrie' - Netherlands;6;De Industrie;6D8HDN;600;4;Oil;1;;Unknown;127.50;0.00;0.00;5.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1432;;0.000;27/05/2016;;82.300;;Veesham Shipping Inc;5090593;1965-11;Oil Engine(s). Direct Drive;0;Krishna Shipping Inc;5614164;0;;;0;12.50;Chemical/Products Tanker;;Nieuwe Noord Nederland Nv;NTH060024;Veesham Shipping Inc;5090593;In Service/Commission;Veesham Shipping Inc;5090593;0;1968
6825945;RICA;;;;;;10.20;10.320;10.200;1968-12;0;5VBU5;IV;Denmark;1118;1968-12;4.2;0;  Unknown;9991001;;3.899;320;Atlas-MaK Maschinenbau GmbH - Kiel;6;MaK;6Z451AK;450;4;Oil;1;375;Togo;55.00;0.00;0.00;3.50;Distillate Fuel;Not Applicable;0;  Unknown;9991001;693;;0.000;21/12/2015;;59.920;;Rptd Sold Undisclosed Interest;9991942;1966-01;Oil Engine(s). Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;11.50;Chemical/Products Tanker;;Aarhus Flydedok & Maskinkomp;DEN002022;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1968
