IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8659950;TRISTAN PERKASA;DongFeng Diesel;Chinese Std. Type;4135CAF;2;68;15,80;16,000;15,800;2009-11;0;POYS;KI;China, People's Republic Of;1738;2009-11;3,6;0;  Unknown;9991001;;2,750;170;Zibo Diesel Engine Factory - China;6;Chinese Std. Type;X6170ZC;200;4;Oil;2;1500;Indonesia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Tristan Marine Services;4192601;1169;2009-04;0,000;2017-03-17;2009-11;78,000;;Tristan Marine Services;4192601;2009-01;Oil Engine(s), Geared Drive;0;Tristan Marine Services;4192601;0;;;0;0,00;Aggregates Carrier;;Jiangyan Xingzhen Shipyard;CHR536050;Tristan Marine Services;4192601;In Service/Commission;Tristan Marine Services;4192601;0;2009
8660234;ISLANDER 10;;;;;;18,20;0,000;18,200;2008-09;0;DUH3353;;China, People's Republic Of;3800;2008-09;4,6;0;  Unknown;9991001;;0,000;200;Weichai Power Co Ltd - China;6;Chinese Std. Type;CW6200ZC;270;4;Oil;2;1000;Philippines;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;2441;2008-03;0,000;2018-07-11;;95,000;;Golden Islander Maritime Inc;5942157;2008-01;Oil Engine(s), Geared Drive;0;Golden Islander Maritime Inc;5942157;0;;;0;0,00;Aggregates Carrier;;Ma'anshan Jiangnan Shbldg;CHRC06050;Golden Islander Maritime Inc;5942157;In Casualty Or Repairing;  Unknown;9991001;0;2008
8661135;ZHE PU GONG 72;;;;;;8,90;0,000;8,900;1999-01;0;;ZC;China, People's Republic Of;950;1999-01;2,7;0;  Unknown;9991001;;1,550;160;Weifang Diesel Engine Factory - China;6;Chinese Std. Type;6160A;225;4;Oil;2;1000;China, People's Republic Of;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;485;;0,000;2016-02-29;;58,500;;Sanhe Marine Co Ltd;5546942;1998-01;Oil Engine(s), Geared Drive;0;Zhejiang Huashun Marine Co Ltd;5496264;0;;;0;0,00;Aggregates Carrier;;Linhai Gangzha Shipyard;CHR508050;Sanhe Marine Co Ltd;5546942;In Service/Commission;  Unknown;9991001;0;1999
8661549;HENG HONG NO. 998;;;;;;16,80;0,000;16,800;2010-09;0;;;China, People's Republic Of;6500;2010-09;5,6;0;  Unknown;9991001;;5,200;0;Weichai Power Co Ltd - China;;Chinese Std. Type;;0;;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;2998;2009-11;0,000;2017-10-12;2010-03;98,800;;Huasheng Holding Group Inc;5739922;2009-09;Oil Engine(s), Geared Drive;0;Huasheng Holding Group Inc;5739922;0;;;0;10,00;Aggregates Carrier;;Chaohu Yingjiang Shipbuilding;CHR512050;Huasheng Holding Group Inc;5739922;In Service/Commission;  Unknown;9991001;0;2010
8661862;YUE DONG JIANG 678;;;;;;16,00;0,000;16,000;2009-04;0;;;China, People's Republic Of;1741;2009-04;4,2;0;  Unknown;9991001;;0,000;0;Cummins Engine Co Inc - USA;;Cummins;;0;;Oil;1;;China, People's Republic Of;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1567;;0,000;2017-10-16;;68,800;;Hexin International Shipping;4194686;2008-01;Oil Engine(s), Geared Drive;0;Hexin International Shipping;4194686;0;;;0;0,00;Aggregates Carrier;;Huizhou Tonghu Zhifa Indl;CHR514050;Hexin International Shipping;4194686;In Service/Commission;  Unknown;9991001;0;2009
8662189;SHI XIANG 156;;;;;;15,20;15,470;15,200;2006-06;0;5IM916;MA;China, People's Republic Of;1875;2006-06;4,6;0;  Unknown;9991001;;0,000;159;Chongqing Cummins Engine Co Ltd - China;6;Cummins;KTA-19-M600;159;4;Oil;2;;Tanzania (Zanzibar);0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1688;2006-01;0,000;2018-04-10;;74,870;;Rhonda Shipping Co Ltd;5998334;2005-10;Oil Engine(s), Geared Drive;0;Rhonda Shipping Co Ltd;5998334;0;;;0;8,00;Aggregates Carrier;;Qingyuan Qingcheng Yongli Shyd;CHRA50050;Rhonda Shipping Co Ltd;5998334;In Service/Commission;  Unknown;9991001;0;2006
8662543;VIET 66;;;;;;16,00;16,300;16,000;2002-06;0;;ZC;China, People's Republic Of;3057;2002-06;4;0;  Unknown;9991001;;3,380;159;Chongqing Cummins Engine Co Ltd - China;6;Cummins;KT-19-M;159;4;Oil;2;2100;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1678;2002-01;0,000;2018-04-10;;67,500;;HK Dragon Flying Int'l Trading;5758017;2001-01;Oil Engine(s), Geared Drive;0;HK Dragon Flying Int'l Trading;5758017;0;;;0;0,00;Aggregates Carrier;;Guangzhou Panyu Yuefeng Shrpr;CHR399052;HK Dragon Flying Int'l Trading;5758017;In Service/Commission;  Unknown;9991001;0;2002
8662608;VIET 86;;;;;;15,20;15,500;15,200;2006-01;0;;ZC;China, People's Republic Of;3302;2006-01;4,5;0;  Unknown;9991001;;3,450;190;Jinan Diesel Engine Co Ltd - China;6;Chinese Std. Type;6190ZLC;210;4;Oil;2;1200;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1588;2005-03;0,000;2018-04-10;;73,000;;HK Dragon Flying Int'l Trading;5758017;2005-01;Oil Engine(s), Geared Drive;0;HK Dragon Flying Int'l Trading;5758017;0;;;0;0,00;Aggregates Carrier;;Guangzhou Nansha Xianglong;CHR521050;HK Dragon Flying Int'l Trading;5758017;In Service/Commission;  Unknown;9991001;0;2006
8665076;PELICAN 1;;;;;;15,60;0,000;15,600;2006-10;0;E6BD2;;China, People's Republic Of;1381;2006-10;4,15;0;  Unknown;9991001;;0,000;159;Cummins Engine Co Inc - USA;6;Cummins;KTA-19-M500;159;4;Oil;2;1800;Niue;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;ASL Marine Holdings Ltd;5181100;1216;2006-07;0,000;2016-02-29;;71,000;542128110;ASL Offshore & Marine Pte Ltd;1894092;2006-01;Oil Engine(s), Geared Drive;0;Capitol Offshore Pte Ltd;4031441;0;;;0;0,00;Aggregates Carrier;;Guangzhou Panyu Xiuxiang;CHRA88050;ASL Offshore & Marine Pte Ltd;1894092;In Service/Commission;ASL Offshore & Marine Pte Ltd;1894092;0;2006
8665088;PELICAN 2;;;;;;15,60;0,000;15,600;2006-06;0;E6BE2;;China, People's Republic Of;1381;2006-06;4,15;0;  Unknown;9991001;;0,000;159;Cummins Engine Co Inc - USA;6;Cummins;KTA-19-M500;159;4;Oil;2;1800;Niue;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;ASL Marine Holdings Ltd;5181100;1216;2006-03;0,000;2016-02-29;;71,000;542129110;ASL Offshore & Marine Pte Ltd;1894092;2006-01;Oil Engine(s), Geared Drive;0;Capitol Offshore Pte Ltd;4031441;0;;;0;0,00;Aggregates Carrier;;Guangzhou Panyu Xiuxiang;CHRA88050;ASL Offshore & Marine Pte Ltd;1894092;In Service/Commission;ASL Offshore & Marine Pte Ltd;1894092;0;2006
