IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8927010;PP-902;;;;;;6,20;0,000;6,200;1996-11;0;BDDI;;Chinese Taipei;0;1996-11;3,4;0;  Unknown;9991001;;0,000;185;Paxman Diesels Ltd. - Colchester;12;Paxman;12VP185;196;4;Oil;2;1950;Chinese Taipei;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Brunei Govt;Brunei;177;1992-01;0,000;2011-02-13;1992-04;28,240;;Taiwan Govt;0712071;1994-11;Oil Engine(s), Geared Drive;0;Taiwan Govt Coast Guard;4043797;0;;;0;25,00;Patrol Vessel;;Lung Teh;CHT033035;Taiwan Govt Coast Guard;4043797;In Service/Commission;  Unknown;9991001;0;1996
8927149;PLAVKRAN GANTS-55;;;;;;19,00;19,000;0,000;1963-09;0;;;Hungary;336;1963-09;2,75;0;  Unknown;9991001;;1,350;150;Barnaultransmash - Barnaul;12;Barnaultransmash;7D12;180;4;Oil;2;;Russia;26,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Samoa Shipping Corp Ltd;Samoa;182;1991-00;0,000;2017-11-17;1991-08;31,050;273435480;Vladivostok Naval School;1756434;1961-09;Oil Engine(s), Electric Drive;0;Vladivostok Naval School;1756434;0;;;0;6,50;Crane Vessel;;Angyalfold;HUN002033;Vladivostok Naval School;1756434;Laid-Up;  Unknown;9991001;0;1963
8927175;PLAVKRAN-89;;;;;;19,02;19,240;19,020;1969-00;0;;RS;Hungary;303;1969-00;2,92;1131;  Unknown;9991001;;1,900;150;Barnaultransmash - Barnaul;12;Barnaultransmash;3D12A;180;4;Oil;2;;Russia;26,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Congo Democratic Govt;Congo (Democratic Republic);184;1992-03;0,000;2010-08-09;1992-09;30,000;;Rim Co Ltd;5341488;1967-00;Oil Engine(s), Electric Drive;0;Rim Co Ltd;5341488;0;;;0;4,00;Crane Vessel;;Angyalfold;HUN002033;Rim Co Ltd;5341488;Laid-Up;  Unknown;9991001;0;1969
8927448;PLAVKRAN IV-63;;;;;;14,00;14,000;0,000;1963-00;0;;;German Democratic Republic;338;1963-00;3,48;0;  Unknown;9991001;;2,210;240;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";8;S.K.L.;8NVD36;360;4;Oil;2;;Ukraine;22,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Congo Democratic Govt;Congo (Democratic Republic);300;1991-00;0,000;2011-11-08;1992-00;0,000;;Odessa Commercial Port;1395433;1961-00;Oil Engine(s), Direct Drive;0;Odessa Commercial Port;1395433;0;;;0;8,10;Crane Vessel;;Mathias-Thesen-Werft VEB;GDR309033;Odessa Commercial Port;1395433;In Service/Commission;Odessa Commercial Port;1395433;0;1963
8927486;PLAVKRAN No. 4;;;;;;13,72;13,980;13,720;1963-00;0;;RS;German Democratic Republic;206;1963-05;3,5;0;  Unknown;9991001;;1,530;240;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";8;S.K.L.;8NVD36-1U;360;4;Oil;2;500;Russia;60,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Egypt Govt;Egypt;80;1991-12;0,000;2019-02-04;1993-09;18,300;273332110;Morskie Inzhenernye;5386498;1961-00;Oil Engine(s), Direct Drive;0;Morskie Inzhenernye;5386498;0;;;0;8,30;Crane Vessel;;Mathias-Thesen-Werft VEB;GDR309033;Morskie Inzhenernye;5386498;In Service/Commission;Morskie Inzhenernye;5386498;0;1963
8927503;PLAVKRAN VI-63;;;;;;13,99;13,990;0,000;1963-00;0;;;German Democratic Republic;338;1963-09;3,48;0;  Unknown;9991001;;2,210;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";8;S.K.L.;8NVD48A-3U;480;4;Oil;2;;Ukraine;22,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Marine Spill Response Corp;United States Of America;198;1992-00;0,000;2017-02-08;1992-00;30,480;;Bleykhert Cooperative;1736604;1961-00;Oil Engine(s), Direct Drive;0;Bleykhert Cooperative;1736604;0;;;0;8,10;Crane Vessel;;Mathias-Thesen-Werft VEB;GDR309033;Bleykhert Cooperative;1736604;In Service/Commission;Bleykhert Cooperative;1736604;0;1963
8927694;PORTOVIK-1;;;;;;7,58;8,010;7,580;1977-08;0;UGLY;RS;U.S.S.R.;326;1977-08;3,6;482;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Russia;12,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Marine Spill Response Corp;United States Of America;198;1992-00;0,000;2019-01-10;1992-00;30,480;;Techinvest Plus Co Ltd;5005725;1975-08;Oil Engine(s), Geared Drive;0;Techinvest Plus Co Ltd;5005725;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Techinvest Plus Co Ltd;5005725;In Service/Commission;  Unknown;9991001;0;1977
8927709;PORTOVIK-3;;;;;;7,50;8,010;7,500;1979-04;0;;RS;U.S.S.R.;326;1979-04;3,6;482;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Russia;12,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;China Govt;China, People's Republic Of;110;1991-12;0,000;2011-12-20;1992-09;26,000;;Rosmorport;5119485;1977-04;Oil Engine(s), Geared Drive;0;Russia Govt;1253128;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Rosmorport;5119485;In Service/Commission;  Unknown;9991001;0;1979
8927761;PS-355;;;;;;8,01;8,010;0,000;1982-00;0;;;U.S.S.R.;442;1982-00;3,6;0;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Ukraine;13,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Crowley Maritime Corp;United States Of America;357;1990-00;0,000;2019-02-04;1990-00;37,490;272019500;Odessa Commercial Port;1395433;1980-00;Oil Engine(s), Geared Drive;0;Odessa Commercial Port;1395433;0;;;0;8,10;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Odessa Commercial Port;1395433;In Service/Commission;Odessa Commercial Port;1395433;0;1982
8927773;PS-334;;;;;;8,01;8,010;0,000;1980-00;0;;;U.S.S.R.;326;1980-08;3,6;0;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Ukraine;12,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Marine Spill Response Corp;United States Of America;357;1991-00;0,000;2017-02-08;1991-08;35,113;;Belgorod-Dnestrovskiy Sea Port;1710501;1978-00;Oil Engine(s), Geared Drive;0;Belgorod-Dnestrovskiy Sea Port;1710501;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Belgorod-Dnestrovskiy Sea Port;1710501;In Service/Commission;Belgorod-Dnestrovskiy Sea Port;1710501;0;1980
