IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
7645548;GALWAY BAY;;;;;;7,51;0,000;7,510;1976-00;0;;;France;40;1976-00;3,46;0;  Unknown;9991001;;1,910;0;Societe Alsacienne de Constructions Mecaniques (SACM) - France;;;;0;Y;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;226;;0,000;2015-09-04;;38,990;;Rptd Sold Sierra Leone;9981566;1974-00;Oil Engine(s), Geared Drive;0;Rptd Sold Sierra Leone;9981566;0;;;0;0,00;Passenger Ship;;Glehen L Chantier;FRA221050;Rptd Sold Sierra Leone;9981566;In Service/Commission;  Unknown;9991001;0;1976
7645768;MAN LOONG;;;;;;7,93;8,390;7,930;1975-00;0;;;Hong Kong, China;62;1975-00;3,51;0;  Unknown;9991001;;2,134;165;MTU Friedrichshafen GmbH - Friedrichshafen;6;M.T.U.;6V331TC82;155;4;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;433;;0,000;2011-12-16;;43,160;;Rptd Sold Undisclosed Interest;9991942;1972-01;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;12,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1975
7645873;MAN SHING;;;;;;10,06;10,880;10,060;1970-00;0;;;Hong Kong, China;121;1970-00;3,33;0;  Unknown;9991001;;2,261;267;Crossley Premier Engines Ltd. - Manchester;9;Crossley;HRN9;343;2;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;478;;0,000;2011-12-16;;49,380;;Rptd Sold Undisclosed Interest;9991942;1967-01;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1970
7645897;MAN CHI;;;;;;10,52;11,330;10,520;1973-00;0;;;Hong Kong, China;151;1973-00;3,59;0;  Unknown;9991001;;2,388;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;7;MAN;G7V30/45ATL;450;4;Oil;1;500;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;754;;0,000;2011-12-16;;59,370;;Rptd Sold Undisclosed Interest;9991942;1970-01;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1973
7645902;MAN WAI;;;;;;10,52;11,330;10,520;1974-00;0;;;Hong Kong, China;151;1974-00;3,59;0;  Unknown;9991001;;2,388;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;7;MAN;G7V30/45ATL;450;4;Oil;1;500;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;757;;0,000;2011-12-16;;59,370;;Rptd Sold Undisclosed Interest;9991942;1971-01;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1974
7645914;MAN HONG;;;;;;10,52;11,330;10,520;1975-00;0;;;Hong Kong, China;151;1975-00;3,59;0;  Unknown;9991001;;2,388;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;7;MAN;G7V30/45ATL;450;4;Oil;1;500;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;757;;0,000;2011-12-16;;59,370;;Rptd Sold Undisclosed Interest;9991942;1972-01;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1975
7645926;MAN TO;;;;;;10,52;11,330;10,520;1972-00;0;;;Hong Kong, China;152;1972-00;3,59;0;  Unknown;9991001;;2,350;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;7;MAN;G7V30/45ATL;450;4;Oil;1;500;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;765;;0,000;2011-12-16;;58,600;;Rptd Sold Undisclosed Interest;9991942;1969-01;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1972
7645938;BATAVIA;;;;;;11,59;12,500;11,590;1971-00;0;;;Hong Kong, China;188;1971-00;3,97;0;  Unknown;9991001;;2,718;160;MTU Friedrichshafen GmbH - Friedrichshafen;12;M.T.U.;12V362TB61;180;4;Oil;2;;Indonesia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1453;;0,000;2017-05-22;;64,290;;Bangun Putra Remaja;1953721;1968-01;Oil Engine(s), Geared Drive;0;Bangun Putra Remaja;1953721;0;;;0;0,00;Passenger Ship;;Hong Kong Shipyard;HKG028058;Bangun Putra Remaja;1953721;In Service/Commission;  Unknown;9991001;0;1971
7645976;MAN HOI;;;;;;12,81;13,260;12,810;1960-00;0;;;Hong Kong, China;303;1960-00;3,81;0;  Unknown;9991001;;3,455;165;MTU Friedrichshafen GmbH - Friedrichshafen;6;M.T.U.;6V331TC82;155;4;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;469;;0,000;2011-12-16;;51,360;;Rptd Sold Undisclosed Interest;9991942;1958-00;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10,50;Passenger Ship;;Hong Kong & Whampoa Dock;HKG008017;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1960
7646891;VLADIMIR GOLUZENKO;;;;;;6,70;6,710;6,700;1977-09;0;;RS;U.S.S.R.;51;1997-09;2,9;248;  Unknown;9991001;;2,180;180;Unknown;8;Daldizel;8CHNSP18/22;220;4;Oil;2;750;Russia;20,00;0,00;0,00;0,00;Distillate Fuel;Unknown;0;Terneyles JSC;5125855;245;;0,000;2019-01-02;;38,420;273440950;Terneyles JSC;5125855;1975-09;Oil Engine(s), Geared Drive;0;Terneyles JSC;5125855;0;;;0;0,00;Passenger Ship;;Nakhodkinskiy;USR044058;Terneyles JSC;5125855;In Service/Commission;  Unknown;9991001;0;1977
