IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9286176;KARBOUW;CUMMINS;CUMMINS;KTA-19-M;4;463;11,40;11,450;11,400;2003-11;0;PH7980;LR;Poland;2934;2003-11;5,4;0;  Unknown;9991001;;3,500;256;Anglo Belgian Corp NV (ABC) - Belgium;6;A.B.C.;6MDZC;310;4;Oil;1;1000;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;0;2003-04;0,000;2018-10-22;2003-06;110,000;244660086;Cambio Scheepvaart BV;5167667;2002-12;Oil Engine(s), Geared Drive;0;Cambio Scheepvaart BV;5167667;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Centromost;POL016066;Cambio Scheepvaart BV;5167667;In Service/Commission;  Unknown;9991001;0;2003
9286188;CHARLOTTE;;;;;;11,40;11,450;11,400;2004-04;0;PD3426;LR;Poland;2906;2004-04;5,4;0;  Unknown;9991001;;3,500;159;Cummins Engine Co Inc - USA;16;Cummins;QSK60-M;190;4;Oil;1;1800;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;VeKa Group BV;Netherlands;0;2003-04;0,000;2018-10-18;2003-08;110,000;244700582;VeKa Shipbuilding BV;4073204;2002-12;Oil Engine(s), Geared Drive;0;VeKa Shipbuilding BV;4073204;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Centromost;POL016066;VeKa Shipbuilding BV;4073204;In Service/Commission;  Unknown;9991001;0;2004
9286190;EILTANK 47;CUMMINS;CUMMINS;KTA-19-M;4;463;11,40;11,450;11,400;2004-04;0;DA8741;LR;Poland;2900;2004-04;5,4;0;  Unknown;9991001;;3,500;159;Cummins Engine Co Inc - USA;16;Cummins;QSK60-M;190;4;Oil;1;1800;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Jaegers Reederei GmbH;Germany;0;2003-07;0,000;2018-10-18;2003-10;110,000;211487450;Jaegers Reederei GmbH;5071483;2002-12;Oil Engine(s), Geared Drive;0;Jaegers Reederei GmbH;5071483;0;;;0;12,00;Chemical Tanker, Inland Waterways;;Centromost;POL016066;Jaegers Reederei GmbH;5071483;In Service/Commission;  Unknown;9991001;0;2004
9289582;ERLENHOF;CUMMINS;CUMMINS;N14-M;4;358;11,00;11,440;11,000;2005-07;0;DB5082;LR;Czech Republic;4766;2005-07;4,8;0;Lehnkering Rhein;5534715;;3,400;242;Anglo Belgian Corp NV (ABC) - Belgium;6;A.B.C.;6MDXC;320;4;Oil;2;750;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Imperial Logistics Intl BV;Germany;0;2004-08;0,000;2018-01-15;;109,860;211515400;Lehnkering Rhein;5534715;2002-12;Oil Engine(s), Geared Drive;0;Lehnkering Rhein;5534715;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Ceske Usti;CZR001059;Lehnkering Rhein;5534715;In Service/Commission;Wijgula BV;5190655;0;2005
9295309;TEXAS;SISU;VALMET;620DSG;4;110;13,50;13,600;13,500;2004-06;0;OT2365;LR;Russia;4164;2004-06;5,32;0;  Unknown;9991001;;4,200;256;Anglo Belgian Corp NV (ABC) - Belgium;8;A.B.C.;8MDZC;310;4;Oil;1;1000;Belgium;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;FTS-Hofftrans BV;Netherlands;2011;2003-06;0,000;2018-07-27;2003-12;110,000;205008600;Royal Tankers BV;5320411;2003-00;Oil Engine(s), Geared Drive;0;FTS-Hofftrans Belgium BVBA;5174709;0;;;0;11,00;Chemical Tanker, Inland Waterways;;Baltiyskiy;RUS004054;Royal Tankers BV;5320411;In Service/Commission;  Unknown;9991001;0;2004
9295610;VLAKE;CUMMINS;CUMMINS;KTA-19-M;4;500;13,30;13,750;13,300;2004-01;0;PH5520;LR;Russia;4123;2004-01;5,5;0;  Unknown;9991001;;3,800;256;Anglo Belgian Corp NV (ABC) - Belgium;6;A.B.C.;6MDZC;310;4;Oil;1;1000;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Verenigde Tankrederij BV;Netherlands;0;2003-03;0,000;2018-11-06;2003-09;125,000;244660638;Verenigde Tankrederij BV;0639283;2003-00;Oil Engine(s), Geared Drive;0;Verenigde Tankrederij BV;0639283;0;;;0;11,00;Chemical Tanker, Inland Waterways;;Baltiyskiy;RUS004054;Verenigde Tankrederij BV;0639283;In Service/Commission;  Unknown;9991001;0;2004
9304837;JUSTINE;;;;;;11,36;11,400;11,360;2004-12;0;DC8874;;Ukraine;2364;2004-12;5,5;0;  Unknown;9991001;;3,600;170;Caterpillar Inc - USA;12;Caterpillar;3512B;190;4;Oil;1;1200;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;GEFO;Germany;0;2004-02;0,000;2018-07-02;2004-06;109,850;211729530;GEFO;0210451;2003-09;Oil Engine(s), Geared Drive;0;GEFO;0210451;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Leninska Kuznya;UKE002011;GEFO;0210451;In Service/Commission;  Unknown;9991001;0;2004
9304916;MARTENS 5;CUMMINS;CUMMINS;N14-M;4;358;9,46;10,150;9,460;2004-08;0;PH8746;LR;Poland;1306;2004-08;4,68;0;  Unknown;9991001;;2,800;165;MTU Friedrichshafen GmbH - Friedrichshafen;8;M.T.U.;8V4000M60;190;4;Oil;1;1800;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;0;2003-09;0,000;2019-02-26;2004-02;81,300;244670003;Transport Schepen en Reiniging;5258014;2003-09;Oil Engine(s), Geared Drive;0;Transport Schepen en Reiniging;5258014;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Centromost;POL016066;Transport Schepen en Reiniging;5258014;In Service/Commission;Transport Schepen en Reiniging;5258014;0;2004
9306081;JADE;MTU;M.T.U.;12V2000;4;900;20,00;20,240;20,000;2004-07;0;PI4700;LR;China, People's Republic Of;9007;2004-07;6;0;  Unknown;9991001;;4,600;165;MTU Friedrichshafen GmbH - Friedrichshafen;12;M.T.U.;12V4000M60;190;4;Oil;2;1800;Netherlands;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Jade VOF;Netherlands;0;2003-04;0,000;2018-10-22;2003-06;134,950;244660627;Amulet Management & Services;5934293;2002-00;Oil Engine(s), Geared Drive;0;Jade VOF;5195863;0;;;0;11,00;Chemical Tanker, Inland Waterways;;Nantong Gangzha;CHR164050;Amulet Management & Services;5934293;In Service/Commission;Amulet Management & Services;5934293;0;2004
9306093;CRISTINA;MITSUBISHI;VOLVO PENTA;;4;570;13,50;0,000;13,500;2004-06;0;PH5775;LR;China, People's Republic Of;4249;2004-06;4,2;0;  Unknown;9991001;;2,800;256;Anglo Belgian Corp NV (ABC) - Belgium;8;A.B.C.;8MDZC;310;4;Oil;1;1000;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;0;2002-12;0,000;2018-12-03;2003-08;110,000;244820331;Interfluvial Shipping BV;5977333;2002-00;Oil Engine(s), Geared Drive;0;Interfluvial Shipping BV;5977333;0;;;0;10,00;Chemical Tanker, Inland Waterways;;Hangzhou Dongfeng Shipbuilding;CHR173050;Interfluvial Shipping BV;5977333;In Service/Commission;  Unknown;9991001;0;2004
