IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9764180;LEDCOR L3802;;;;;;18,30;18,324;18,300;2015-06;0;;LR;China, People's Republic Of;3800;2015-06;4,27;0;  Unknown;9991001;;3,500;0;Unknown;;Non-Propelled;;0;;;0;;Canada;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Ledcor IP Holdings Ltd;Canada;1474;;0,000;2017-10-12;;73,238;;Ledcor Leasing Ltd;4180041;2014-10;Non-Propelled;0;Ledcor Leasing Ltd;4180041;0;;;0;0,00;Deck Cargo Pontoon, non propelled;;Nantong Mingde Heavy Industry;CHR347050;Ledcor Leasing Ltd;4180041;In Service/Commission;  Unknown;9991001;0;2015
9769544;NOORDZEE;;;;;;15,00;0,000;15,000;2019-03;0;;LR;Netherlands;0;;3;0;;;;0,000;0;Unknown;;Non-Propelled;;0;;;0;;Netherlands;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;804;;0,000;2018-11-30;2016-01;66,500;;Hakkers;0972784;2015-01;Non-Propelled;0;Hakkers;0972784;0;;;0;0,00;Work/Maintenance Pontoon, non propelled  ;;Jooren;NTH515050;Hakkers;0972784;Launched;  Unknown;9991001;0;2019
9773416;CR;;;;;;15,00;0,000;15,000;2017-03;0;;LR;Colombia;1700;2017-03;3,45;0;  Unknown;9991001;;2,930;0;Unknown;;Non-Propelled;;0;;;0;;Colombia;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;SERPORT SA;Colombia;658;2016-06;0,000;2017-10-12;;50,500;;SERPORT SA;4212122;2015-01;Non-Propelled;0;SERPORT SA;4212122;0;;;0;0,00;Products Tank Barge, non propelled;;Unidos Astilleros SA;COL004051;SERPORT SA;4212122;In Service/Commission;  Unknown;9991001;0;2017
9775270;SILVER-3006;;;;;;16,50;16,536;16,500;2018-05;0;;RI;Romania;3070;2018-05;4,5;4148;  Unknown;9991001;;3,200;0;Unknown;;Non-Propelled;;0;;;0;;Russia;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Silverburn Shipping IOM Ltd;United Kingdom;1717;2015-06;0,000;2018-12-12;;89,250;;Morwenna Shipping Co Ltd;5871961;2015-02;Non-Propelled;0;Silverburn Shipping IOM Ltd;5199150;0;;;0;0,00;Deck Cargo Pontoon, non propelled;;Orsova;RUM005055;Morwenna Shipping Co Ltd;5871961;In Service/Commission;Morwenna Shipping Co Ltd;5871961;0;2018
9775282;SILVER-3007;;;;;;16,50;16,536;16,500;2018-05;0;;RI;Romania;3070;2018-05;4,5;4151;  Unknown;9991001;;3,200;0;Unknown;;Non-Propelled;;0;;;0;;Russia;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Silverburn Shipping IOM Ltd;United Kingdom;1717;2015-07;0,000;2018-12-12;;89,250;;Morwenna Shipping Co Ltd;5871961;2015-02;Non-Propelled;0;Silverburn Shipping IOM Ltd;5199150;0;;;0;0,00;Deck Cargo Pontoon, non propelled;;Orsova;RUM005055;Morwenna Shipping Co Ltd;5871961;In Service/Commission;Morwenna Shipping Co Ltd;5871961;0;2018
9776303;SCOTIA TIDE;;;;;;7,00;37,000;7,000;2016-07;0;CFA2139;LR;Canada;114;2016-07;4;1156;  Unknown;9991001;;0,000;0;Unknown;;Non-Propelled;;0;;;0;;Canada;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;1293;2015-03;0,000;2017-10-12;;64,000;316031831;Openhydro Technology Canada;5935209;2014-11;Non-Propelled;0;Openhydro Technology Canada;5935209;0;;;0;0,00;Pontoon (Function Unknown);;Aecon Atlantic Industrial Inc;CAN145055;Openhydro Technology Canada;5935209;In Service/Commission;  Unknown;9991001;0;2016
9781255;MTR-3;;;;;;36,50;0,000;36,500;2017-12;0;3FOU6;AB;China, People's Republic Of;10731;2017-12;10,8;0;  Unknown;9991001;20201130;5,800;0;Unknown;;Non-Propelled;;0;;;0;;Panama;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;China Merchants Industry;China, People's Republic Of;16944;2015-04;0,000;2018-01-29;2016-01;109,800;353633000;Well Target Two O One Ltd;6015931;2015-03;Non-Propelled;0;Well Target Two O One Ltd;6015931;0;;;6821;0,00;Work/Maintenance Pontoon, non propelled  ;;China Merchants HI Jiangsu;CHR547080;Well Target Two O One Ltd;6015931;In Service/Commission;  Unknown;9991001;0;2017
9781267;MTR-4;;;;;;36,50;0,000;36,500;2017-12;0;3EUH3;AB;China, People's Republic Of;10724;2017-12;10,8;0;  Unknown;9991001;20201130;5,800;0;Unknown;;Non-Propelled;;0;;;0;;Panama;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;China Merchants Industry;China, People's Republic Of;16944;2015-06;0,000;2018-01-29;2016-03;109,800;351990000;Well Target Two O Two Ltd;6015945;2015-03;Non-Propelled;0;Well Target Two O Two Ltd;6015945;0;;;6821;0,00;Work/Maintenance Pontoon, non propelled  ;;China Merchants HI Jiangsu;CHR547080;Well Target Two O Two Ltd;6015945;In Service/Commission;  Unknown;9991001;0;2017
9783760;WHW CHEM 1;;;;;;25,00;0,000;25,000;2015-12;0;;BV;China, People's Republic Of;7000;2015-12;6,3;0;  Unknown;9991001;20181225;4,300;0;Unknown;;Non-Propelled;;0;;;0;;Unknown;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;3820;;0,000;2018-03-23;2015-10;89,940;;Indokarya Selaras Mineral PT;5907152;2015-07;Non-Propelled;0;Indokarya Selaras Mineral PT;5907152;0;;;0;0,00;Chemical/Products Tank Barge, non propelled;;Chengxi Shipyard Co Ltd;CHR383080;Indokarya Selaras Mineral PT;5907152;In Service/Commission;  Unknown;9991001;0;2015
9783772;WHW CHEM 2;;;;;;25,00;0,000;25,000;2015-12;0;;BV;China, People's Republic Of;7000;2015-12;6,3;0;  Unknown;9991001;20181225;4,300;0;Unknown;;Non-Propelled;;0;;;0;;Unknown;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;3820;;0,000;2018-03-23;;89,940;;Indokarya Selaras Mineral PT;5907152;2015-07;Non-Propelled;0;Indokarya Selaras Mineral PT;5907152;0;;;0;0,00;Chemical/Products Tank Barge, non propelled;;Chengxi Shipyard Co Ltd;CHR383080;Indokarya Selaras Mineral PT;5907152;In Service/Commission;  Unknown;9991001;0;2015
