IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9238636;KOTA HARUM;;;;;;25,00;0,000;25,000;2002-06;0;9VFF8;NK;Japan;18870;2002-06;12,8;0;Pacific International Lines;0029554;20200514;9,220;520;Kobe Hatsudoki KK - Japan;6;Mitsubishi;6UEC52LSE;2000;2;Oil;1;127;Singapore;160,00;1500,00;39,00;0,00;Distillate Fuel;Residual Fuel;0;Pacific International Lines;0029554;13491;2001-12;0,000;2019-02-22;2002-03;159,500;564622000;Pacific International Lines;0029554;2000-00;Oil Engine(s), Direct Drive;200;Pacific International Lines;0029554;0;;;6144;18,3;Container Ship (Fully Cellular);Containership-Regional Feeder;Shin Kurushima Onishi;JPN019213;Pacific International Lines;0029554;In Service/Commission;Pacific International Lines;0029554;1098;2002
9238686;CORONA J;MAK;MAK;9M20;4;1710;25,00;0,000;25,000;2002-12;0;V2BG1;VL;China, People's Republic Of;16794;2002-12;14,9;23922;Jungerhans Maritime Services;1346032;20200403;9,500;500;Hudong Heavy Machinery Co Ltd - China;8;B&W;8S50MC-C;2000;2;Oil;1;127;Antigua & Barbuda;0,00;0,00;53,00;0,00;Distillate Fuel;Residual Fuel;0;Jungerhans Maritime Services;1346032;16129;2001-09;0,000;2019-02-22;2002-04;161,100;304813000;CMA CGM SA The French Line;0194433;2000-09;Oil Engine(s), Direct Drive;628;Euphonia Schiffahrts UG;5754164;0;2013-07-30;$6900000;6087;20;Container Ship (Fully Cellular);Containership-Regional Feeder;Jiangsu Yangzijiang Shbldg Co;CHR366056;Jungerhans Maritime Services;1346032;In Service/Commission;Jungerhans Maritime Services;1346032;1209;2002
9238698;REPULSE BAY;MAK;MAK;9M20;4;1710;25,00;0,000;25,000;2003-04;0;V2BG2;BV;China, People's Republic Of;16824;2003-04;12,7;23922;Lubeca Marine Germany GmbH;5064172;20210407;9,500;500;Hudong Heavy Machinery Co Ltd - China;8;B&W;8S50MC-C;2000;2;Oil;1;127;Antigua & Barbuda;0,00;0,00;53,00;0,00;Distillate Fuel;Residual Fuel;0;Lubeca Marine Germany GmbH;5064172;16129;2001-11;0,000;2019-02-22;2002-05;161,100;304814000;Maersk Line A/S;5808451;2000-09;Oil Engine(s), Direct Drive;358;Lantau Boehe Schiffahrt GmbH;5754116;0;;;6087;20;Container Ship (Fully Cellular);Containership-Regional Feeder;Jiangsu Yangzijiang Shbldg Co;CHR366056;Lubeca Marine Germany GmbH;5064172;In Service/Commission;Lubeca Marine Germany GmbH;5064172;1209;2003
9238739;MSC VIDHI;MAN-B&W;MAN-B&W;7L32/40;4;3000;40,00;40,034;40,000;2001-09;0;D5GE2;VL;Korea, South;67796;2001-09;24,3;92440;MSC Shipmanagement Ltd;1535947;20200105;14,026;900;Doosan Engine Co Ltd - South Korea;12;B&W;12K90MC;2550;2;Oil;1;94;Liberia;310,00;5676,00;191,00;228,00;Distillate Fuel;Residual Fuel;0;Ship Finance International Ltd;5146873;66500;2001-04;60,000;2019-02-22;2001-06;277,300;636016433;MSC Mediterranean Shipping Co;0152944;2000-09;Oil Engine(s), Direct Drive;632;SFL Victoria Inc;5790326;0;2014-03-05;$14000000;15061;24,9;Container Ship (Fully Cellular);Containership-Post-Panamax;Samsung Heavy Inds - Geoje;KRS032072;MSC Mediterranean Shipping Co;0152944;In Service/Commission;MSC Shipmanagement Ltd;1535947;5762;2001
9238741;MSC MARGARITA;MAN-B&W;MAN-B&W;7L32/40;4;3000;40,00;40,034;40,000;2002-02;0;A8IX9;VL;Korea, South;67644;2002-02;24,3;92438;MSC Shipmanagement Ltd;1535947;20191125;14,000;900;Doosan Engine Co Ltd - South Korea;12;B&W;12K90MC;2550;2;Oil;1;94;Liberia;310,00;5676,00;191,00;228,00;Distillate Fuel;Residual Fuel;0;Ship Finance International Ltd;5146873;66500;2001-09;60,000;2019-02-22;2001-10;277,240;636016429;MSC Mediterranean Shipping Co;0152944;2000-09;Oil Engine(s), Direct Drive;656;SFL Virginia Inc;5790330;0;2014-03-05;$14000000;15062;24,9;Container Ship (Fully Cellular);Containership-Post-Panamax;Samsung Heavy Inds - Geoje;KRS032072;MSC Mediterranean Shipping Co;0152944;In Service/Commission;MSC Shipmanagement Ltd;1535947;5762;2002
9238753;BAVARIA;Daihatsu;Daihatsu;6DK-28;4;1810;32,25;32,300;32,250;2003-03;0;D5EG6;LR;Korea, South;50800;2003-03;19,3;67271;Eastern Pacific Shipping Pte;1314173;20200904;12,600;900;Doosan Engine Co Ltd - South Korea;8;B&W;8K90MC-C;2300;2;Oil;1;104;Liberia;215,00;5427,00;145,30;146,00;Distillate Fuel;Residual Fuel;0;Zodiac Maritime Ltd;0034961;39941;2002-10;57,908;2019-02-27;2002-12;260,100;636016072;MCC Transport Singapore Pte;5444252;2000-09;Oil Engine(s), Direct Drive;400;Pacific Leasing Ltd;4083320;0;2014-04-08;$12000000;11652;23,3;Container Ship (Fully Cellular);Containership-Panamax;Samsung Heavy Inds - Geoje;KRS032072;Eastern Pacific Shipping Pte;1314173;In Service/Commission;Eastern Pacific Shipping Pte;1314173;4253;2003
9238765;THURINGIA;DAIHATSUDIESEL;DAIHATSU;6DK-28;4;1810;32,25;32,300;32,250;2003-04;0;D5EG7;LR;Korea, South;50790;2003-04;19,3;67271;Eastern Pacific Shipping Pte;1314173;20210323;12,600;900;Doosan Engine Co Ltd - South Korea;8;B&W;8K90MC-C;2300;2;Oil;1;104;Liberia;215,00;5427,00;145,30;146,00;Distillate Fuel;Residual Fuel;0;Eastern Pacific Shipping Pte;1314173;39941;2002-11;57,908;2019-03-01;2003-02;260,049;636016073;CMA CGM SA The French Line;0194433;2000-09;Oil Engine(s), Direct Drive;400;Pacific Leasing Ltd;4083320;0;2014-04-08;$12000000;11652;23,3;Container Ship (Fully Cellular);Containership-Panamax;Samsung Heavy Inds - Geoje;KRS032072;Eastern Pacific Shipping Pte;1314173;In Service/Commission;Eastern Pacific Shipping Pte;1314173;4253;2003
9238777;OSAKA TOWER;DAIHATSUDIESEL;DAIHATSU;6DK-28;4;1810;32,25;32,300;32,250;2003-05;0;D5DJ5;LR;Korea, South;50760;2003-05;19,3;67271;Eastern Pacific Shipping Pte;1314173;20210601;12,600;900;Doosan Engine Co Ltd - South Korea;8;B&W;8K90MC-C;2300;2;Oil;1;104;Liberia;215,00;5427,00;145,30;146,00;Distillate Fuel;Residual Fuel;0;Eastern Pacific Shipping Pte;1314173;39941;2002-12;57,908;2019-02-27;2003-03;260,049;636015897;Maersk Line A/S;5808451;2000-09;Oil Engine(s), Direct Drive;400;Pacific Leasing Ltd;4083320;0;;;11652;23,3;Container Ship (Fully Cellular);Containership-Panamax;Samsung Heavy Inds - Geoje;KRS032072;Eastern Pacific Shipping Pte;1314173;In Service/Commission;Eastern Pacific Shipping Pte;1314173;4253;2003
9238789;CUCKOO HUNTER;Daihatsu;Daihatsu;6DK-28;4;1800;32,25;32,300;32,250;2003-07;0;A8CF3;VL;Korea, South;50843;2003-07;19,3;67271;ZEABORN Ship Management;1822162;20210301;12,620;900;Doosan Engine Co Ltd - South Korea;8;B&W;8K90MC-C;2300;2;Oil;1;104;Liberia;266,00;6357,00;145,30;146,00;Distillate Fuel;Residual Fuel;0;CMB SA;0177541;39941;2002-03;57,908;2019-02-27;2003-04;260,049;636016940;CMA CGM SA The French Line;0194433;2000-09;Oil Engine(s), Direct Drive;400;Cuckoo Hunter Ltd;5854566;0;;;11653;23,3;Container Ship (Fully Cellular);Containership-Panamax;Samsung Heavy Inds - Geoje;KRS032072;Bocimar International NV;1955404;In Service/Commission;ZEABORN Ship Management;1822162;4253;2003
9238791;OEL JUMEIRAH;Daihatsu;Daihatsu;6DK-28;4;1800;32,25;32,350;32,250;2003-09;0;5BUH4;VL;Korea, South;50900;2003-09;19,3;67271;TW Ship Management Pvt Ltd;5910770;20200803;12,626;900;Doosan Engine Co Ltd - South Korea;8;B&W;8K90MC-C;2300;2;Oil;1;104;Cyprus;266,00;6357,00;145,30;146,00;Distillate Fuel;Residual Fuel;0;Transworld Group;5314214;39941;2003-04;57,908;2019-02-27;2003-06;260,100;209061000;Orient Express Lines Inc;1184271;2000-09;Oil Engine(s), Direct Drive;400;Transworld Shipping & Logistic;5996412;0;2017-07-19;$7100000;11625;23,3;Container Ship (Fully Cellular);Containership-Panamax;Samsung Heavy Inds - Geoje;KRS032072;TW Ship Management Pvt Ltd;5910770;In Service/Commission;TW Ship Management Pvt Ltd;5910770;4253;2003
9238806;SSL BRAHMAPUTRA;Daihatsu;Daihatsu;6DK-28;4;1800;32,25;32,300;32,250;2003-12;0;AWWX;IR VL;Korea, South;50900;2003-12;19,3;67271;Orient Express Ship Management;1866381;20211119;12,620;900;Doosan Engine Co Ltd - South Korea;8;B&W;8K90MC-C;2300;2;Oil;1;104;India;266,00;6357,00;145,30;146,50;Distillate Fuel;Residual Fuel;0;Transworld Group;5314214;39941;2003-06;57,908;2019-02-27;2003-09;260,100;419001324;Shreyas Shipping & Logistics;1581739;2000-09;Oil Engine(s), Direct Drive;400;Shreyas Shipping & Logistics;1581739;0;2017-10-04;$8500000;11652;23,3;Container Ship (Fully Cellular);Containership-Panamax;Samsung Heavy Inds - Geoje;KRS032072;Shreyas Shipping & Logistics;1581739;In Service/Commission;TW Ship Management Pvt Ltd;5910770;4253;2003
9238870;DANUM 168;;;;;;25,00;25,036;25,000;2001-10;0;9WSY9;BV;Singapore;16696;2001-10;13,6;23530;Shinline Sdn Bhd;1618912;20191109;9,500;600;Hudong Heavy Machinery Co Ltd - China;7;B&W;7L60MC;1944;2;Oil;1;123;Malaysia;123,00;1670,00;51,50;0,00;Distillate Fuel;Residual Fuel;0;Shin Yang Shipping Sdn Bhd;1392442;13764;2000-09;0,000;2019-02-22;2001-04;154,000;533170482;Shinline Sdn Bhd;1618912;2000-00;Oil Engine(s), Direct Drive;200;Shin Yang Shipping Sdn Bhd;1392442;0;;;8158;19,5;Container Ship (Fully Cellular);Containership-Regional Feeder;Atlantis Shipyard Pte Ltd;SNG122062;Shinline Sdn Bhd;1618912;In Service/Commission;Shinline Sdn Bhd;1618912;1078;2001
9238882;ALION;;;;;;25,00;25,036;25,000;2002-04;0;9HA4547;LR;Singapore;16742;2002-04;13,6;23530;  Unknown;9991001;;9,500;600;Hudong Heavy Machinery Co Ltd - China;7;B&W;7L60MC;1944;2;Oil;1;123;Malta;123,00;1450,00;51,50;0,00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;13764;2001-04;0,000;2019-02-22;2001-10;154,000;248174000;Merman Maritime Co;5967062;2000-10;Oil Engine(s), Direct Drive;200;Alion Maritime Ltd;6022111;0;;;7949;19,5;Container Ship (Fully Cellular);Containership-Regional Feeder;Atlantis Shipyard Pte Ltd;SNG122062;Merman Maritime Co;5967062;In Service/Commission;Merman Maritime Co;5967062;1078;2002
9239733;MILAN TRADER;MAK;MAK;6M25;4;1450;29,80;29,840;29,800;2002-06;0;9HA3757;VL;Germany;34019;2002-06;16,5;44349;Columbia Shipmanagement Ltd;0778064;20200930;11,550;700;Hyundai Heavy Industries Co Ltd - South Korea;7;B&W;7L70MC;2268;2;Oil;1;108;Malta;303,00;2820,00;75,00;0,00;Distillate Fuel;Residual Fuel;0;Lomar Corp Ltd;5513609;25580;2001-09;0,000;2019-02-22;2002-03;201,050;215087000;Maersk Line A/S;5808451;2000-10;Oil Engine(s), Direct Drive;440;Milan Trader Shipping Ltd;6073920;0;2013-04-03;$7800000;10478;21;Container Ship (Fully Cellular);Containership-Feedermax;Thyssen Nordseewerke;GEU037051;Lomar Shipping Ltd;0546467;In Service/Commission;Columbia Shipmanagement Ltd;0778064;2460;2002
9239850;APL SAIPAN;;MAN-B&W;;;960;27,20;0,000;27,200;2002-04;0;WDJ2573;AB;Korea, South;20979;2002-04;13,8;0;APL Maritime Ltd;1112323;20191220;9,214;600;Doosan Engine Co Ltd - South Korea;7;B&W;7S60MC;2292;2;Oil;1;105;United States Of America;132,00;1823,00;45,00;0,00;Distillate Fuel;Residual Fuel;0;Neptune Orient Lines Ltd;0028896;16916;2001-09;48,098;2019-02-22;2002-01;168,800;367759670;APL LLC;0321328;2000-10;Oil Engine(s), Direct Drive;194;Wilmington Trust Co;0415421;0;;;6649;20;Container Ship (Fully Cellular);Containership-Regional Feeder;Hanjin HI & Const - Ulsan;KRS002147;APL Maritime Ltd;1112323;In Service/Commission;APL Maritime Ltd;1112323;1641;2002
9239862;FLORA DELMAS;;MAN-B&W;;;960;27,20;0,000;27,200;2002-06;0;CQEZ;BV;Korea, South;21420;2002-06;13,8;0;Bernhard Schulte-GER;3028090;20200611;9,214;600;Doosan Engine Co Ltd - South Korea;7;B&W;7S60MC;2292;2;Oil;1;105;Portugal (Mar);116,00;1823,00;45,00;0,00;Distillate Fuel;Residual Fuel;0;MacAndrews GmbH;0259393;16916;2002-01;48,098;2019-02-22;2002-04;168,800;255805703;CMA CGM SA The French Line;0194433;2000-10;Oil Engine(s), Direct Drive;194;MacAndrews GmbH;0259393;0;;;6650;20,5;Container Ship (Fully Cellular);Containership-Regional Feeder;Hanjin HI & Const - Ulsan;KRS002147;Containerships-CMA CGM GmbH;0259393;In Service/Commission;Bernhard Schulte-GER;3028090;1641;2002
9239874;APL GULF EXPRESS;;MAN-B&W;;;960;27,20;0,000;27,200;2002-10;0;WDJ4009;AB;Korea, South;20944;2002-10;13,8;0;APL Maritime Ltd;1112323;20200415;9,220;600;Doosan Engine Co Ltd - South Korea;7;B&W;7S60MC;2292;2;Oil;1;105;United States Of America;116,00;1823,00;45,00;0,00;Distillate Fuel;Residual Fuel;0;Neptune Orient Lines Ltd;0028896;16916;2002-04;48,098;2019-02-22;2002-07;168,800;367773530;APL LLC;0321328;2000-10;Oil Engine(s), Direct Drive;194;Wilmington Trust Co;0415421;0;;;6649;20;Container Ship (Fully Cellular);Containership-Regional Feeder;Hanjin HI & Const - Ulsan;KRS002147;APL Maritime Ltd;1112323;In Service/Commission;APL Maritime Ltd;1112323;1641;2002
9239886;TG ATHENA;MAK;MAK;8M25;4;2640;29,80;0,000;29,800;2002-05;0;D5IQ8;VL;Germany;34589;2002-05;16,7;46257;Goldenport Marine Cyprus Ltd;5722291;20200504;11,400;720;Wartsila Italia SpA - Italy;7;Sulzer;7RTA72U-B;2500;2;Oil;1;99;Liberia;400,00;3760,00;87,00;0,00;Distillate Fuel;Residual Fuel;0;Goldenport Shipmanagement Ltd;0798451;27322;2001-06;0,000;2019-02-22;2001-11;211,880;636016970;MSC Mediterranean Shipping Co;0152944;2000-10;Oil Engine(s), Direct Drive;342;Aethalia Marine SA;5855931;0;2015-04-01;$8000000;10076;22,1;Container Ship (Fully Cellular);Containership-Feedermax;SSW Faehr- & Spezialschiffbau;GEU049049;Goldenport Shipmanagement Ltd;0798451;In Service/Commission;Goldenport Marine Cyprus Ltd;5722291;2496;2002
9239898;SSL KRISHNA;MAK;MAK;8M25;4;2400;29,76;29,800;29,760;2002-08;0;AWYQ;IR VL;Germany;35611;2002-08;16,67;47257;Orient Express Ship Management;1866381;20200829;11,400;720;Wartsila Italia SpA - Italy;7;Sulzer;7RTA72U-B;2500;2;Oil;1;99;India;400,00;3760,00;87,00;87,90;Distillate Fuel;Residual Fuel;0;Transworld Group;5314214;27322;2001-11;0,000;2019-02-27;2002-03;211,850;419001369;Qatar Navigation QSC;0102868;2000-10;Oil Engine(s), Direct Drive;342;Shreyas Shipping & Logistics;1581739;0;2018-06-13;$8300000;11184;22,1;Container Ship (Fully Cellular);Containership-Feedermax;SSW Faehr- & Spezialschiffbau;GEU049049;Shreyas Shipping & Logistics;1581739;In Service/Commission;TW Ship Management Pvt Ltd;5910770;2496;2002
