IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8035570;CORAL STAR;;;;;;7,80;0,000;7,800;1981-00;0;;;Japan;728;1985-04;3,92;0;  Unknown;9991001;;3,501;280;The Hanshin Diesel Works Ltd - Japan;6;Caterpillar;D353TA;203;4;Oil;2;1300;Panama;9,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Garolla Fratelli;Italy;588;;0,000;2018-04-05;;49,860;;Samugara Artajaya PT;5441964;2006-09;Oil Engine(s), Geared Drive;0;Samugara Artajaya PT;5441964;0;;;0;0,00;Bunkering Tanker;;Dalian Fishing Vessel Co;CHR100046;China Marine Bunker Dalian;1069800;In Service/Commission;  Unknown;9991001;0;2001
7900039;CRESCENT CAMILLA;;;;;;11,80;11,820;11,800;1998-04;0;5NQF;;Spain;2635;1986-09;5,41;3530;  Unknown;9991001;;4,601;225;Construcciones Echevarria SA - Spain;6;Blackstone;ER6;292;4;Oil;1;;Greece;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;452;;0,000;2017-04-28;;51,700;;Oceanic Nav Srl;4168716;1968-00;Oil Engine(s), Direct Drive;0;Oceanic Nav Srl;4168716;0;;;0;0,00;Bunkering Tanker;;Nuovo Arsenale Cartubi Srl;ITL168100;Giuliana Bunkeraggi SpA;1469198;In Service/Commission;  Unknown;9991001;0;2006
7362081;CRISTOBAL TRADER;Volvo Penta;Volvo Penta;TAD121CHC;4;178;13,70;13,730;13,700;1974-06;0;3ENA7;;Spain;682;1986-09;5,31;0;  Unknown;9991001;;3,301;150;Gutierrez Ascunce Corp (GUASCOR) - Spain;6;Alpha;496R;490;2;Oil;1;310;Togo;53,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Pascoal & Filhos SA;Portugal;430;;0,000;2016-05-27;;63,760;;Agung Lisna Sakti;5791647;2009-01;Oil Engine(s), Geared Drive;0;Agung Lisna Sakti;5791647;0;;;0;0,00;Bunkering Tanker;;Jamour Co for Marine Services;SYR004050;Owner Unknown;9999996;Launched;  Unknown;9991001;0;2019
9692923;CSM;;;;;;9,80;0,000;9,800;2013-10;0;9V2136;;Japan;4999;1986-04;9,5;0;Winson Shipping Taiwan Co Ltd;5420844;;4,970;440;The Hanshin Diesel Works Ltd - Japan;6;Alpha;406-24VO;400;2;Oil;1;;Russia;20,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Stiftung Hamburg Maritim;Germany;2129;;0,000;2018-07-31;1958-06;93,400;;Lesti;4177436;2008-01;Oil Engine(s), Geared Drive;0;Lesti;4177436;0;;;0;0,00;Bunkering Tanker;;Riopal SA;ARG025050;Risler SA;5191415;In Service/Commission;  Unknown;9991001;0;2006
9606869;CSM 1;;;;;;9,00;0,000;9,000;2011-07;0;9V9101;;France;700;1985-00;4,3;0;  Unknown;9991001;;3,301;150;Societe Surgerienne de Construction Mecaniques - France;6;Polar;MN16S;570;2;Oil;1;250;Nigeria;75,50;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;Russia Govt;Russia;5484;;0,000;2019-01-28;;99,800;;Bahana Line PT;5471858;1985-00;Oil Engine(s), Geared Drive;0;Bahana Line PT;5471858;0;;;0;0,00;Bunkering Tanker;;San Giorgio del Porto;ITL269065;Novella O;0261006;In Service/Commission;Novella O;0261006;0;2008
9223306;CUROIL II;LISTERPET;LISTER;;4;15;8,00;8,024;8,000;2000-07;0;PJPM;;United States Of America;205;1932-05;2,36;0;  Unknown;9991001;;1,980;0;General Motors Corp - USA;6;MWM;RH330S;300;4;Oil;1;;Germany;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Premier Boats SL;Spain;686;1953-12;0,000;2016-05-27;1954-08;57,710;;Victory Petroleum Trading;1384924;2013-10;Oil Engine(s), Geared Drive;0;Victory Petroleum Trading;1384924;0;;;0;0,00;Bunkering Tanker;;Zhuhai Shipbuilding Industry;CHR400052;Feoso Oil Ltd;0629313;In Service/Commission;Fuel Oil Delivery Inc;5822305;0;2007
9863998;DA MING 3;;;;;;13,80;0,000;13,800;2020-01;0;;;China, People's Republic Of;300;1997-10;3,77;0;  Unknown;9991001;;0,000;140;Cummins Engine Co Inc - USA;6;Wartsila;6R32;350;4;Oil;3;;Unknown;0,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;Solent Steam Packet Ltd;United Kingdom;1753;;0,000;2014-09-08;;81,690;;Maxum Oil Service De Panama SA;5535921;1976-00;Oil Engine(s), Direct Drive;0;Maxum Oil Service De Panama SA;5535921;0;;;0;0,00;Bunkering Tanker;;Fratzis;GRC096050;Poseidon Bunkering NE;4212445;In Service/Commission;  Unknown;9991001;0;2014
8537944;DA QING 226;;;;;;15,00;0,000;15,000;2012-04;0;BRXK;;Japan;550;1986-00;3,31;0;  Unknown;9991001;;3,101;0;Matsui Iron Works Co Ltd - Japan;6;MWM;;480;4;Oil;1;;Panama;83,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Will Charter Ltd;United Kingdom;188;;0,000;2017-08-18;;29,570;;Xie Shun Fa Trade Hongkong;5931532;1986-10;Oil Engine(s), Geared Drive;0;Xie Shun Fa Trade Hongkong;5931532;0;;;0;0,00;Bunkering Tanker;;Mech Marine Engineers Pvt Ltd;IND090050;Tristar Transport LLC;5493622;In Service/Commission;Fleet Management Ltd-HKG;1601573;0;2010
8835748;DAGMAR;;;;;;7,01;0,000;7,010;1964-07;0;DGZG;;Turkey;493;1995-04;3;0;  Unknown;9991001;;0,000;128;MTU Friedrichshafen GmbH - Friedrichshafen;6;Caterpillar;3406B;165;4;Oil;2;1800;Nigeria;28,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Tragerverein Rostocker eV;Germany;2541;1964-02;0,000;2018-09-28;1964-06;79,810;;Rptd Sold Undisclosed Interest;9991942;1987-00;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Bunkering Tanker;;Anugerah Wijaya Berjaya;IDA264050;Agniputra Jayakusuma PT;5047055;In Service/Commission;Agniputra Jayakusuma PT;5047055;0;2011
8683157;DAKOTA KING;;;;;;8,00;0,000;8,000;2014-02;0;HKPS6;;China, People's Republic Of;484;2002-12;5,5;0;  Unknown;9991001;;4,500;0;Cummins Engine Co Inc - USA;6;Grenaa;6F24T;300;4;Oil;1;500;Russia;44,50;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;212;1978-01;0,000;2017-10-09;1978-06;26,270;;New Time Co Ltd;5166951;1987-12;Oil Engine(s), Geared Drive;0;New Time Co Ltd;5166951;0;;;0;0,00;Bunkering Tanker;;Anugerah Wijaya Berjaya;IDA264050;Agniputra Jayakusuma PT;5047055;In Service/Commission;Agniputra Jayakusuma PT;5047055;0;2011
8923662;DALNEGORSK;;;;;;10,50;11,000;10,500;1976-04;0;UBRE2;;China, People's Republic Of;201;1998-02;4;0;  Unknown;9991001;;1,500;0;Caterpillar Inc - USA;6;Deutz;RBV6M545;450;4;Oil;1;330;Russia;33,50;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;783;;0,000;2018-10-09;;51,600;;Petro Caribean Suppliers SA;5478413;1987-01;Oil Engine(s), Geared Drive;0;R & Lopez Trade SA;5463243;0;;;0;0,00;Bunkering Tanker;;Jiangsu Jiuzhou Shipbuilding;CHRB52050;ASP Ship Management Pty Ltd;1424775;In Service/Commission;ASP Ship Management Pty Ltd;1424775;0;2013
6854037;DALSTROY;;;;;;7,80;7,800;7,800;1945-03;0;UIJS;;China, People's Republic Of;337;1999-01;4,1;0;  Unknown;9991001;;1,600;140;Cummins Engine Co Inc - USA;6;MWM;RH330S;300;4;Oil;1;;Spain;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;496;2009-09;0,000;2017-07-11;2009-11;39,290;;VL Bunkerings;1840022;1966-00;Oil Engine(s), Geared Drive;0;VL Bunkerings;1840022;0;;;0;0,00;Bunkering Tanker;;FB Santos Enterprises;PHI112050;Cargo Marine Corp;0605998;In Service/Commission;  Unknown;9991001;0;2011
9302011;DANIELA MELISSA;;;;;;10,45;0,000;10,450;2005-04;0;3FPU5;;China, People's Republic Of;1334;2011-03;6;0;  Unknown;9991001;;2,000;159;Cummins Engine Co Inc - USA;6;MWM;;480;4;Oil;1;;Unknown;50,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;286;1970-09;0,000;2014-07-08;;37,500;;Bercon-Bunker Co Ltd;5270484;1985-12;Oil Engine(s), Geared Drive;0;Bercon-Bunker Co Ltd;5270484;0;;;0;0,00;Bunkering Tanker;;Nova Melnik Lodenice;CZR003059;General Bunkering Services;5682967;In Service/Commission;General Bunkering Services;5682967;0;2012
4907751;DAUNTLESS;;;;;;21,20;0,000;21,200;2010-06;0;GPLB;;Turkey;155;1978-12;2,04;0;  Unknown;9991001;;0,000;180;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;GUASCOR;F180T-SP;165;4;Oil;2;1800;Spain;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;490;;0,000;2018-09-06;;66,990;;Izmail Port Authority;1710841;1986-12;Oil Engine(s), Geared Drive;0;Izmail Port Authority;1710841;0;;;0;0,00;Bunkering Tanker;;Fujian Changxing Shipbuilding;CHRB55080;MK Marine Pte Ltd;4102581;Launched;  Unknown;9991001;0;2019
7508611;DEBMAR ATLANTIC;;;;;;21,95;0,000;21,950;1978-08;0;V5DA;;Germany, Federal Republic Of;1455;1969-10;2,72;0;  Unknown;9991001;;0,000;170;Caterpillar Inc - USA;6;Normo;RSP6;360;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Park West Childrens Fund Inc;United States Of America;3809;;0,000;2017-08-14;;103,230;;Meditrranean Samac Co Ltd;5787123;1983-01;Oil Engine(s), Geared Drive;0;BTZ Valleta/Med Samac;5787137;0;;;0;0,00;Bunkering Tanker;;Usda Seroja Jaya;IDA203050;Persada Lines PT;5219096;In Service/Commission;  Unknown;9991001;0;2012
7419389;DEBMAR PACIFIC;;;;;;21,95;0,000;21,950;1977-06;0;V5DE;;Kenya;489;1985-00;0;0;  Unknown;9991001;;0,000;0;Caterpillar Inc - USA;6;Nordberg;TSM-216;737;4;Oil;1;200;United States Of America;0,00;990,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;733;;0,000;2018-06-29;;58,200;;SMC Shipping & Lighterage Corp;0425581;1991-06;Oil Engine(s), Geared Drive;0;SMC Shipping & Lighterage Corp;0425581;0;;;0;0,00;Bunkering Tanker;;Dewa Ruci Agung;IDA284050;Bahana Line PT;5471858;In Service/Commission;Bahana Line PT;5471858;0;2013
9802918;DELTA VICTORY 08;Perkins;Perkins;6TWGM;4;112;20,00;20,024;20,000;2016-08;0;YBIK2;;Kenya;953;2011-00;0;0;  Unknown;9991001;;0,000;0;Isuzu Marine Seizo KK - Japan;6;MaK;6MU451A;450;4;Oil;1;375;Yemen;37,50;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;331;;0,000;2018-06-04;;40,670;;Sungjin Shipping Co;0923278;1985-11;Oil Engine(s), Direct Drive;0;Sungjin Shipping Co;0923278;0;;;0;0,00;Bunkering Tanker;;Zhejiang Xifeng Shipbuilding;CHR099050;Prosper Marine Pte Ltd;5004934;On Order/Not Commenced;  Unknown;9991001;0;2019
