IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
1000473;ARALUS;;;;;;4,57;4,570;0,000;1985-07;0;GFJJ;;United Kingdom;0;1985-07;4,27;0;  Unknown;9991001;;3,050;98;Perkins Engines Ltd. - Peterborough;6;Perkins;T6.3544;127;4;Oil;1;;Isle Of Man;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;55;;0,000;2019-02-28;;17,840;232807000;Marris N;3024287;1983-07;Sail, Aux Oil Eng(s) Direct-Dr;0;Marris N;3024287;0;;;0;0,00;Yacht (Sailing);;Fairey Allday;GBI461050;Marris N;3024287;In Service/Commission;  Unknown;9991001;0;1985
1000459;JUNESTAR;;;;;;7,40;7,400;0,000;1992-06;0;ZCMD3;LR;Italy;0;1992-06;4,5;160;  Unknown;9991001;20200118;1,700;165;MTU Friedrichshafen GmbH - Friedrichshafen;12;M.T.U.;12V396TE94;185;4;Oil;2;2100;Cayman Islands;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;261;;0,000;2019-02-28;;37,400;;Nereus Shipping SA;0533687;1990-06;Oil Engine(s), Geared Drive;0;Crown Shipping Corp;6061595;0;;;0;20,00;Yacht;;Codecasa Due;ITL280046;Nereus Shipping SA;0533687;In Service/Commission;  Unknown;9991001;0;1992
1000447;VA BENE;;;;;;8,95;8,950;0,000;1992-12;0;ZCIP8;LR;Netherlands;0;1992-12;4,48;0;Dynamic Yacht Management LLC;3029138;20201229;2,400;170;Caterpillar Inc - USA;12;Caterpillar;3512TA;190;4;Oil;2;1800;Cayman Islands;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;496;1990-11;0,000;2019-02-28;;43,800;319854000;Glen Wyllin Ltd;3028585;1990-06;Oil Engine(s), Geared Drive;0;Glen Wyllin Ltd;3028585;0;;;0;0,00;Yacht;;Cornelissen;NTH353046;Glen Wyllin Ltd;3028585;In Service/Commission;Dynamic Yacht Management LLC;3029138;0;1992
1000435;BLUE OCEAN;;;;;;7,34;7,400;7,340;1988-07;0;MJNT6;;Italy;0;1988-07;3,6;0;  Unknown;9991001;;1,320;165;MTU Friedrichshafen GmbH - Friedrichshafen;12;M.T.U.;12V396;185;4;Oil;2;;United Kingdom;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;175;;0,000;2019-02-28;;29,700;232375000;Anmar Maritime Co Ltd;3011105;1986-07;Oil Engine(s), Geared Drive;0;Anmar Maritime Co Ltd;3011105;0;;;0;0,00;Yacht;;Pisa;ITL340052;Anmar Maritime Co Ltd;3011105;In Service/Commission;  Unknown;9991001;0;1988
1000423;ISTROS;;;;;;6,89;6,890;0,000;1954-10;0;9HB3017;LR;Netherlands;0;1954-10;2,92;0;  Unknown;9991001;20150426;2,830;265;Crossley Premier Engines Ltd. - Manchester;6;Crossley;;345;2;Oil;2;;Malta;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;247;;0,000;2018-08-29;;42,090;229209000;Etoile d'Azur Yachts Ltd;6059991;1952-10;Oil Engine(s), Direct Drive;0;Etoile d'Azur Yachts Ltd;6059991;0;;;0;0,00;Yacht;;Vries Lentsch G. Amsterda;NTH119020;Etoile d'Azur Yachts Ltd;6059991;Laid-Up;Alphamaris Ltd;5926731;0;1954
1000409;QUINTESSA;;;;;;8,59;8,590;0,000;1989-07;0;MHQX6;;Netherlands;0;1989-07;4,8;0;  Unknown;9991001;;3,600;170;Caterpillar Inc - USA;16;Caterpillar;3516TA;190;4;Oil;2;1600;United Kingdom;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;480;;0,000;2019-02-28;;46,500;232501000;Balisea Shipping;3027882;1987-07;Oil Engine(s), Direct Drive;0;Balisea Shipping;3027882;0;;;0;0,00;Yacht;;Lent Jacht/Scheepswerf;NTH408051;Balisea Shipping;3027882;In Service/Commission;  Unknown;9991001;0;1989
1000394;ANMAD;;;;;;7,56;7,560;0,000;1981-08;0;2HIN3;;Italy;0;1981-08;0;0;  Unknown;9991001;;2,130;142;Kloeckner-Humboldt-Deutz AG - West Germany;16;Deutz;SBA16M816;160;4;Oil;2;1800;United Kingdom;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;317;;0,000;2019-02-28;;42,700;235103938;Rptd Sold Undisclosed Interest;9991942;1979-08;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Yacht;;C.R.N. Ancona;ITL277046;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1981
1000370;AMPHITRITE;;;;;;6,37;6,370;0,000;1974-09;0;HO9798;LR;Netherlands;0;1974-09;0;0;  Unknown;9991001;20200509;2,190;137;Caterpillar Tractor Co - USA;6;Caterpillar;D343TA;165;4;Oil;2;1800;Panama;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Livanos Group;Greece;118;;0,000;2019-02-28;;28,060;;Sun Enterprises Ltd-LIB;0510075;1972-09;Oil Engine(s), Geared Drive;0;Sun Enterprises Ltd-LIB;0510075;0;;;0;0,00;Yacht;;De Vries Aalsmeer;NTH422058;Sun Enterprises Ltd-LIB;0510075;In Service/Commission;  Unknown;9991001;0;1974
1000356;BASRAH BREEZE;;;;;;12,99;12,990;0,000;1981-06;0;HNBZ;;Denmark;0;1981-06;0;0;  Unknown;9991001;;3,500;230;MTU Friedrichshafen GmbH - Friedrichshafen;12;M.T.U.;12V1163TB62;280;4;Oil;2;1100;Iraq;186,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Iraq Govt;Iraq;2494;;0,000;2019-02-28;;82,040;;Titan, Hyde & Torrance;5398442;1979-06;Oil Engine(s), Geared Drive;0;Iraq Govt Maritime Transport;0099545;0;;;0;0,00;Accommodation Vessel, Stationary;;Helsingor Vaerft A/S;DEN006036;Titan, Hyde & Torrance;5398442;In Service/Commission;  Unknown;9991001;0;1981
1000344;ALTAIR;;;;;;6,25;6,250;0,000;1931-05;0;;LR;United Kingdom;0;1931-05;4,11;0;  Unknown;9991001;20200202;4,020;130;L. Gardner & Sons Ltd. - Manchester;6;Gardner;6LXDT;159;4;Oil;1;1800;United Kingdom;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;93;;0,000;2019-02-28;;32,870;;Pytka J;3029190;1929-05;Sail, Aux Oil Eng(s), Geared;0;Pytka J;3029190;0;;;0;0,00;Yacht (Sailing);;Fife W & Son;GBI498055;Pytka J;3029190;In Service/Commission;  Unknown;9991001;0;1931
1000320;NAVTILVS;;;;;;14,40;14,400;0,000;1973-09;0;9HA4745;LR;Greece;0;1973-09;0;0;  Unknown;9991001;20190515;4,300;400;Lindholmen Motor AB - Sweden;12;Pielstick;12PC2V-400;460;4;Oil;2;350;Malta;395,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;3156;;0,000;2018-06-28;;115,800;248652000;Dromon Shipping & Trading Ltd;5200737;1971-09;Oil Engine(s), Direct Drive;0;Gracestar Ltd;6011355;0;;;0;0,00;Yacht;;Hellenic Shyds.;GRC004017;Dromon Shipping & Trading Ltd;5200737;Laid-Up;Dromon Shipping & Trading Ltd;5200737;0;1973
1000318;AL RIYADH;;;;;;9,72;9,720;0,000;1978-01;0;HZHM;;Netherlands;0;1978-00;5,21;0;  Unknown;9991001;;3,010;230;MTU Friedrichshafen GmbH - Friedrichshafen;16;M.T.U.;16V956;230;4;Oil;2;;Saudi Arabia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;965;;0,000;2019-02-28;;64,690;;Saudi Arabia Govt Coast Guard;3016358;1976-01;Oil Engine(s), Geared Drive;0;Saudi Arabia Govt Coast Guard;3016358;0;;;0;0,00;Yacht;;Lent Jacht/Scheepswerf;NTH408051;Saudi Arabia Govt Coast Guard;3016358;In Service/Commission;  Unknown;9991001;0;1978
1000306;ADORIA;;;;;;9,51;9,510;0,000;1975-01;0;MNZN7;;Italy;0;1975-01;4,2;0;  Unknown;9991001;;2,440;220;MTU Friedrichshafen GmbH - Friedrichshafen;6;M.T.U.;;280;4;Oil;2;2600;United Kingdom;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;475;;0,000;2019-02-28;;46,720;235039063;Moonshine Services Ltd;5632418;1973-01;Oil Engine(s), Direct Drive;0;Moonshine Services Ltd;5632418;0;;;0;0,00;Yacht;;Campanella Cantieri Navali SpA;ITL028038;Moonshine Services Ltd;5632418;In Service/Commission;  Unknown;9991001;0;1975
1000291;YAAKUN;;;;;;9,77;9,770;0,000;1987-11;0;ZCPK8;LR;Italy;555;1987-11;5,85;0;  Unknown;9991001;20210114;4,280;230;MTU Friedrichshafen GmbH - Friedrichshafen;16;M.T.U.;16V956;230;4;Oil;2;1515;Cayman Islands;120,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;986;;0,000;2019-02-28;;61,780;319007000;Aspin Holdings Ltd;5257617;1985-11;Oil Engine(s), Geared Drive;0;Aspin Holdings Ltd;5257617;0;;;0;22,00;Yacht;;Nicolini;ITL336052;Aspin Holdings Ltd;5257617;In Service/Commission;  Unknown;9991001;0;1987
