IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8961080;YODRUK 1;;;;;;8,00;0,000;8,000;2000-11;0;;;Thailand;139;2000-11;3,5;0;  Unknown;9991001;;0,000;0;Cummins Engine Co Inc - USA;;Cummins;;0;4;Oil;1;;Thailand;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;202;;0,000;2016-02-29;;24,100;;Nava-Aiemvilai N;1925498;1998-11;Oil Engine(s), Direct Drive;0;Nava-Aiemvilai N;1925498;0;;;0;0,00;Refrigerated Cargo Ship;;Phaisombun;THA031050;Nava-Aiemvilai N;1925498;In Service/Commission;  Unknown;9991001;0;2000
8961092;TONSAMUT 11;;;;;;6,60;0,000;6,600;2000-12;0;;;Thailand;87;2000-12;3,5;0;  Unknown;9991001;;0,000;0;Cummins Engine Co Inc - USA;;Cummins;;0;4;Oil;1;;Thailand;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;127;;0,000;2016-02-29;;22,000;;Wanawivit B;1928546;1998-12;Oil Engine(s), Direct Drive;0;Wanawivit B;1928546;0;;;0;0,00;Refrigerated Cargo Ship;;Khamprasert;THA032050;Wanawivit B;1928546;In Service/Commission;  Unknown;9991001;0;2000
8961107;BUSABA;;;;;;7,50;0,000;7,500;2000-00;0;;;Thailand;223;2000-00;4,2;0;  Unknown;9991001;;0,000;0;Cummins Engine Co Inc - USA;;Cummins;;0;4;Oil;1;;Thailand;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;235;;0,000;2016-02-29;;32,000;;Pongsathaporn C;1928515;1998-00;Oil Engine(s), Direct Drive;0;Pongsathaporn C;1928515;0;;;0;0,00;Refrigerated Cargo Ship;;Mahachai;THA007057;Pongsathaporn C;1928515;In Service/Commission;  Unknown;9991001;0;2000
8961133;CMD 9;;;;;;8,00;0,000;8,000;2000-00;0;;;Thailand;240;2000-00;4;0;  Unknown;9991001;;0,000;159;Cummins Engine Co Inc - USA;12;Cummins;KTA-38-M2;159;4;Oil;1;1800;Unknown;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;252;;0,000;2016-02-29;;34,000;;CM Diesel;1928532;1998-00;Oil Engine(s), Geared Drive;0;CM Diesel;1928532;0;;;0;0,00;Refrigerated Cargo Ship;;Sinsakcharungdech;THA030050;CM Diesel;1928532;In Service/Commission;  Unknown;9991001;0;2000
8963052;XIN SHI JI;;;;;;9,60;0,000;9,600;1979-08;0;;;Hong Kong, China;780;1979-08;5,6;0;  Unknown;9991001;;4,900;300;Guangzhou Diesel Engine Factory Co Ltd - China;6;Chinese Std. Type;6300;380;4;Oil;1;600;Unknown;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Yongzheng Marine Holdings;5319851;689;;0,000;2016-05-27;;58,600;;Nanjing Yongzheng Marine Co;5039832;1976-01;Oil Engine(s), Geared Drive;0;Wan Zhou Panama Marine Co Ltd;5119715;0;;;0;0,00;Refrigerated Cargo Ship;;Hong Kong Yuanxing;HKG054050;Nanjing Yongzheng Marine Co;5039832;In Service/Commission;  Unknown;9991001;0;1979
8963856;DE LI NO. 1;;;;;;9,20;0,000;9,200;1980-00;0;;;China, People's Republic Of;448;1980-00;4,6;0;  Unknown;9991001;;4,000;0;Guangzhou Diesel Engine Factory Co Ltd - China;;Chinese Std. Type;;0;4;Oil;1;;Unknown;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;China Govt;0104538;493;;0,000;2016-05-27;;60,000;;HK For-Shine Trading Co Ltd;5179228;1978-00;Oil Engine(s), Direct Drive;0;HK For-Shine Trading Co Ltd;5179228;0;;;0;0,00;Refrigerated Cargo Ship;;PLA 4806 Shipyard;CHR071050;HK For-Shine Trading Co Ltd;5179228;In Service/Commission;  Unknown;9991001;0;1980
8971152;HAI XING 3;;;;;;6,60;0,000;6,600;2000-09;0;5VFE9;;China, People's Republic Of;166;2000-09;3,3;0;  Unknown;9991001;;2,600;190;Jinan Diesel Engine Co Ltd - China;12;Chinese Std. Type;12V190;210;4;Oil;1;1450;Togo;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;China Govt;0104538;207;;0,000;2018-12-14;;44,890;671948000;Dandong Daludao Haixing;4059320;1998-09;Oil Engine(s), Geared Drive;0;Dandong Daludao Haixing;4059320;0;;;19;14,50;Refrigerated Cargo Ship;;Huanghai Shipbuilding Co Ltd;CHR098038;Dandong Daludao Haixing;4059320;In Service/Commission;Dandong Daludao Haixing;4059320;0;2000
8971310;TAISING 805;;;;;;7,80;0,000;7,800;1998-02;0;BASS;;China, People's Republic Of;208;1998-00;3,85;0;  Unknown;9991001;;2,950;0;Dalian Fishing Vessel Co - China;;;;0;Y;Oil;1;;China, People's Republic Of;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;297;1997-11;0,000;2018-11-15;1997-12;47,500;;Taising Fishery;1990134;1996-02;Oil Engine(s), Direct Drive;0;Taising Fishery;1990134;0;;;0;0,00;Refrigerated Cargo Ship;;Dalian Fishing Vessel Co;CHR100046;Taising Fishery;1990134;In Service/Commission;  Unknown;9991001;0;1998
8971322;TAISING 806;;;;;;7,60;0,000;7,600;1998-02;0;;;China, People's Republic Of;208;1998-00;3,85;0;  Unknown;9991001;;2,950;0;Dalian Fishing Vessel Co - China;;;;0;Y;Oil;1;;China, People's Republic Of;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;297;1997-11;0,000;2018-11-15;;47,500;;Taising Fishery;1990134;1996-02;Oil Engine(s), Direct Drive;0;Taising Fishery;1990134;0;;;0;0,00;Refrigerated Cargo Ship;;Dalian Fishing Vessel Co;CHR100046;Taising Fishery;1990134;In Service/Commission;  Unknown;9991001;0;1998
8971437;GRANDSEA;;;;;;8,20;0,000;8,200;2001-00;0;;;China, People's Republic Of;625;2001-00;4,1;0;  Unknown;9991001;;3,400;0;in China ;;Chinese Std. Type;;0;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;432;;0,000;2016-05-27;;49,600;;Rptd Sold Undisclosed Interest;9991942;1999-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Refrigerated Cargo Ship;;Haidong Shipyard;CHR249068;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;2001
