IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8027406;VIGILANT;Paxman;Paxman;;;195;11,60;11,710;11,600;1982-09;0;MCJN5;VL;Japan;7351;2013-05;14,2;0;PGS Geophysical AS;5139718;20180510;6,420;320;Wartsila Finland Oy - Finland;12;Alpha;12U28L-VO;320;4;Oil;2;775;Vanuatu;748,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Russia Govt;Russia;174;1994-00;0,000;2019-01-31;;31,850;503304000;East Coast Maritime Pty Ltd;5746805;1983-12;Oil Engine(s), Geared Drive;0;East Coast Maritime Pty Ltd;5746805;0;;;0;16,00;Research Survey Vessel;;Ulstein Verft AS;NOR025062;SMNG JSC;1588771;In Service/Commission;SMNG JSC;1588771;0;1999
9165554;VIKING VANQUISH;Volvo Penta;Volvo Penta;TAMD162C;4;380;22,00;22,200;22,000;1998-03;0;LIUG3;VL;Japan;7000;2014-01;14,2;0;PGS Geophysical AS;5139718;20170124;6,445;320;Wartsila Finland Oy - Finland;12;Bergens;KVGB-12;300;4;Oil;3;;Vanuatu;0,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;Spain Govt;Spain;2754;2005-03;0,000;2018-05-11;2007-07;70,500;503323000;Ocean Trek Charter Pty Ltd;1903746;1985-06;Oil Engine(s), Geared Drive;0;Ocean Trek Charter Pty Ltd;1903746;0;;;0;16,00;Research Survey Vessel;;Halter Moss Point;USA082180;Horizon Lines Inc;1861828;In Service/Commission;US Marine Management Inc;5016821;0;2001
8907034;VIKING VISION;Caterpillar Motoren GmbH & Co KG;MAK;9M25;4;2970;20,00;20,030;20,000;1993-05;0;LNXF3;VL;Thailand;564;2012-07;6,7;1905;Fugro Marine Services BV;5312062;20200324;4,270;170;Mitsubishi Heavy Industries Ltd - Japan;12;Caterpillar;D398TA;203;4;Oil;2;;Mexico;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Maritim Management AS;Norway;3658;2004-08;30,900;2018-11-01;2005-03;72,800;503384000;Riverside Marine Group;1224158;1998-03;Oil Engine(s), Geared Drive;0;Australian Institute Marine;0564769;0;;;0;16,00;Research Survey Vessel;;Gdansk Stocznia SA;POL002070;CGG Eidesvik Ship Management;5636265;Laid-Up;CGG Eidesvik Ship Management;5636265;0;2010
8422448;VIKTOR BUYNITSKIY;;;;;;10,00;10,020;10,000;1986-11;0;UAJX;VL;Thailand;558;2013-06;6,7;1905;Fugro Marine Services BV;5312062;20200409;4,275;170;Mitsubishi Heavy Industries Ltd - Japan;14;MAN;14V20/27;270;4;Oil;4;;Spain;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;National Oceanography Centre;United Kingdom;5401;2005-03;0,000;2018-04-13;2005-11;89,200;503487000;Sea Swift Pty Ltd;1225071;1982-02;Oil Engine(s), Geared Drive;0;Sea Swift Pty Ltd;1225071;0;;;0;16,00;Research Survey Vessel;;Gdansk Stocznia SA;POL002070;Geofield Ship Management;5740271;In Service/Commission;O5 Marine SAS;5920904;0;2007
7210630;VILLE D'ABIDJAN;;;;;;8,53;8,540;8,530;1966-00;0;;VL;Thailand;531;;6,7;0;;;;4,300;170;Mitsubishi Heavy Industries Ltd - Japan;16;Caterpillar;3516TA;190;4;Oil;5;1200;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Malaysia Govt;Malaysia;365;2004-06;0,000;2017-01-27;2005-07;38,000;503540000;Riverside Marine Group;1224158;2006-08;Oil Engine(s), Geared Drive;0;Australian Institute Marine;0564769;0;;;0;16,00;Research Survey Vessel;;Wuchang Shipyard;CHR224031;China Govt Inst Oceanology;4109279;In Service/Commission;Qingdao Huayang Maritime;6039883;0;2006
8620002;VINCENZO MARTELLOTTA;;;;;;7,75;7,880;7,750;1988-12;0;IWSP;VL;Finland;4780;2012-04;10,55;0;  Unknown;9991001;20150404;7,650;320;Wartsila Finland Oy - Finland;16;Wartsila;16V32D;350;4;Oil;1;;Norway (Nis);0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;India Govt;India;1065;2004-12;0,000;2018-04-10;2005-11;59,900;503636400;Arrow Pearl Co Pty Ltd;5187188;1976-01;Oil Engine(s), Geared Drive;0;Arrow Pearl Co Pty Ltd;5187188;0;;;0;16,00;Research Survey Vessel;;Ulstein Verft AS;NOR025062;Elnusa Tbk PT;5460898;In Service/Commission;Elnusa Trans Samudera PT;5889141;0;1992
9816517;VIRAZON II;;;;;;8,10;8,260;8,100;2016-10;0;TCA4291;VL;Poland;536;2011-03;6,7;1851;Fugro Marine Services BV;5312062;20190321;4,200;170;Unknown;16;Isotta Fraschini;ID36SS16V;170;4;Oil;2;;Italy;32,00;0,00;10,00;0,00;Distillate Fuel;Residual Fuel;0;Edison Chouest Offshore LLC;United States Of America;9926;2003-11;0,000;2019-02-07;2005-04;106,070;503791000;ASP Ship Management Pty Ltd;1424775;2011-01;Oil Engine(s), Electric Drive;0;Australia Govt CSIRO;0952296;0;;;0;16,00;Research Survey Vessel;;Freeport Shipbuilding Inc;USAA77050;HT Marine Offshore Logistics;5878646;In Service/Commission;HT Marine Offshore Logistics;5878646;0;2000
9723784;VITAL DE OLIVEIRA;;;;;;20,00;0,000;20,000;2015-02;0;PWVO;VL;Germany;952;2017-05;6,9;0;Fugro Marine Services BV;5312062;20200505;4,750;145;Caterpillar Inc - USA;16;Wartsila;16V32D;350;4;Oil;2;750;Australia;850,00;950,00;13,00;1,00;Distillate Fuel;Not Applicable;0;Havstornet AB;Sweden;147;;0,000;2016-05-27;;26,040;508111173;Amarco Services Sdn Bhd;5139240;2013-05;Oil Engine(s), Geared Drive;0;Oceantrack Sdn Bhd;5808788;0;;;171;16,00;Research Survey Vessel;;Swath Ocean;USAB39050;Canada Govt Coast Guard;0042152;In Service/Commission;  Unknown;9991001;0;1988
9776999;VITAWANI VT15;;;;;;13,60;0,000;13,600;2019-02;0;;VL;Italy;3613;2017-12;10,408;0;Havforskningsinstituttet;5004228;20201218;8,650;320;Unknown;16;G.M. (Detroit Diesel);16V-92;127;2;Oil;2;1800;United States Of America;0,00;0,00;0,00;1,00;Distillate Fuel;Not Applicable;0;Elder-Prince Marine Services;Australia;283;;0,000;2017-09-05;1967-03;27,670;512385000;Seaworks Ltd;1541561;1987-05;Oil Engine(s), Geared Drive;0;S&K Day Ltd;1644525;0;;;0;16,00;Research Survey Vessel;;Halter Moss Point;USA082180;United States Govt Naval Syst;1039292;In Service/Commission;US Marine Management Inc;5016821;0;1998
7116638;VLADIMIR KAMANIN;;;;;;6,68;6,680;0,000;1968-06;0;;VL;Germany;380;2015-05;4,4;520;  Unknown;9991001;20180512;2,900;128;MAN Nutzfahrzeuge AG - Nuernberg;16;Caterpillar;3616;300;4;Oil;2;900;United States Of America;0,00;742,00;0,00;1,30;Distillate Fuel;Not Applicable;0;  Unknown;;321;1999-03;18,500;2018-04-09;;32,500;518100481;Ice Tramp LLC;6062704;1972-05;Oil Engine(s), Electric Drive;0;Ice Tramp LLC;6062704;0;;;0;16,00;Research Survey Vessel;;Goa Shipyard Ltd;IND012041;India Govt Navy;0042603;In Service/Commission;India Govt Navy;0042603;0;2001
