IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9122954;ASIAN PARADE;;;;;;32,26;32,290;32,260;1996-12;0;D8CV;KR;Korea, South;25226;1996-12;32,09;0;Wilhelmsen Ship Mgmt Korea Ltd;5148424;20190719;10,018;600;Hyundai Heavy Industries Co Ltd - South Korea;7;B&W;7S60MC;2292;2;Oil;1;105;Korea, South;159,00;2703,00;53,00;56,00;Distillate Fuel;Residual Fuel;0;WILSHIP;Norway;66995;1996-06;45,970;2019-02-26;1996-09;228,780;441993000;EUKOR Car Carriers Inc;5074911;1995-00;Oil Engine(s), Direct Drive;0;EUKOR Car Carriers Inc;5074911;0;;;7154;20,10;Vehicles Carrier;PCC/PCTC => 4,000 cars;Hyundai Heavy Inds - Ulsan;KRS014060;EUKOR Car Carriers Inc;5074911;In Service/Commission;Wilhelmsen Ship Mgmt Korea Ltd;5148424;0;1996
9122966;ASIAN VISION;MAN-B&W;MAN-B&W;6L28/32H;4;1200;32,26;32,300;32,260;1997-03;0;D8CU;KR;Korea, South;21421;1997-03;32,09;37915;Wilhelmsen Ship Mgmt Korea Ltd;5148424;20200220;11,688;600;Hyundai Heavy Industries Co Ltd - South Korea;7;B&W;7S60MC;2292;2;Oil;1;105;Korea, South;159,00;2703,00;53,00;56,00;Distillate Fuel;Residual Fuel;0;WILSHIP;Norway;55680;1996-09;45,970;2019-02-01;1996-12;199,980;441992000;EUKOR Car Carriers Inc;5074911;1995-00;Oil Engine(s), Direct Drive;0;EUKOR Car Carriers Inc;5074911;0;;;6215;20,42;Vehicles Carrier;PCC/PCTC => 4,000 cars;Hyundai Heavy Inds - Ulsan;KRS014060;EUKOR Car Carriers Inc;5074911;In Service/Commission;Wilhelmsen Ship Mgmt Korea Ltd;5148424;0;1997
9123427;RIO M'BRIDGE;;Cummins;6BT5 9-G2;;65;13,72;0,000;13,720;1995-01;0;D2V36;;Malaysia;806;1995-01;3,35;0;  Unknown;9991001;;2,690;137;Caterpillar Inc - USA;12;Caterpillar;3412TA;152;4;Oil;2;2300;Angola;94,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;746;1994-05;0,000;2016-06-28;1994-08;54,330;603805200;Pelicon Shipping & Trading;5454316;1994-01;Oil Engine(s), Geared Drive;12;Pelicon Shipping & Trading;5454316;0;;;0;9,50;Landing Craft;;Borneo Shipping & Timber;MAL029061;Pelicon Shipping & Trading;5454316;In Service/Commission;  Unknown;9991001;38;1995
9124043;SAYAMA 2;;;;;;17,20;0,000;17,200;1995-09;0;JK5416;NK;Japan;2682;1995-09;11,95;5223;  Unknown;9991001;20200104;5,114;350;Makita Corp - Japan;7;B&W;7L35MC;1050;2;Oil;1;210;Japan;195,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;Auru KK;Japan;2926;1995-04;0,000;2018-03-05;1995-06;115,500;431400476;Auru KK;5281798;1995-03;Oil Engine(s), Direct Drive;0;Seitoku Kaiun;5281824;0;;;0;16,00;Vehicles Carrier;PCC/PCTC 500-999 cars;Kegoya;JPN113022;Auru KK;5281798;In Service/Commission;Auru KK;5281798;0;1995
9125102;ENTERPRISE;;;;;;9,00;0,000;9,000;1995-03;0;;;South Africa;453;1995-03;4,55;593;  Unknown;9991001;;2,069;140;Cummins Engine Co Inc - USA;6;Cummins;NTA-855-M;152;4;Oil;2;1800;Unknown;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;595;1994-05;0,000;2018-10-02;1995-01;46,980;;SMB;4030615;1993-03;Oil Engine(s), Geared Drive;0;SMB;4030615;0;;;0;0,00;Landing Craft;;Zw;SAF031051;SMB;4030615;In Service/Commission;  Unknown;9991001;0;1995
9125372;CELESTINE;DAIHATSUDIESEL;DAIHATSU;6DK-20;4;860;25,23;25,640;25,230;1996-10;0;9HA4248;LR;Japan;9677;1996-10;15,45;18028;Anglo-Eastern Ship NL;6039296;20190810;6,521;400;Kawasaki Heavy Industries Ltd - Japan;7;MAN;7L40/54;540;4;Oil;2;514;Malta;35,00;1380,00;40,90;44,40;Distillate Fuel;Residual Fuel;0;  Unknown;;23986;1996-03;45,700;2018-11-22;1996-06;162,490;249444000;Cobelfret Ferries NV;5429251;1995-03;Oil Engine(s), Geared Drive;0;CLdN ro-ro SA;5630408;0;;;5250;17,80;Ro-Ro Cargo Ship;Ro-ro cargo 2,000-2,999 LM;Kawasaki HI - Sakaide - earl;JPN016074;CLdN ro-ro SA;5630408;In Service/Commission;Anglo-Eastern Ship NL;6039296;0;1996
9125384;CLEMENTINE;DAIHATSUDIESEL;DAIHATSU;6DK-20;4;860;25,23;25,640;25,230;1997-02;0;ONDK;LR;Japan;9655;1997-02;15,45;18028;Anglo-Eastern Antwerp NV;5089202;20200424;6,520;400;Kawasaki Heavy Industries Ltd - Japan;7;MAN;7L40/54;540;4;Oil;2;514;Belgium;57,00;1536,00;40,90;44,40;Distillate Fuel;Residual Fuel;0;Cobelfret Ferries NV;Belgium;23986;1996-08;45,700;2019-02-25;1996-10;162,490;205451000;Cobelfret Ferries NV;5429251;1995-03;Oil Engine(s), Geared Drive;0;Cobelfret Ferries NV;5429251;0;;;5250;17,80;Ro-Ro Cargo Ship;Ro-ro cargo 2,000-2,999 LM;Kawasaki HI - Sakaide - earl;JPN016074;Cobelfret Ferries NV;5429251;In Service/Commission;Anglo-Eastern Antwerp NV;5089202;0;1997
9126297;HONOR;B&W;B&W;7L23/30;4;858;32,26;32,280;32,260;1996-12;0;WDC6923;AB;Japan;19844;1996-12;31,4;35127;American Roll-on Roll-off;5074871;20191107;10,197;620;Diesel United Ltd. - Aioi;6;Sulzer;6RTA62U;2150;2;Oil;1;109;United States Of America;186,00;2340,00;0,00;45,90;Distillate Fuel;Residual Fuel;0;WILSHIP;Norway;49814;1996-06;0,000;2019-02-07;1996-09;190,049;367063280;American Roll-on Roll-off;5074871;1995-00;Oil Engine(s), Direct Drive;0;Fidelio LP;1573504;0;;;7372;19,40;Vehicles Carrier;PCC/PCTC => 4,000 cars;Sumitomo Hi Oppama;JPN042198;American Roll-on Roll-off;5074871;In Service/Commission;TOTE Services LLC;0358837;0;1996
9129263;BALTIC BRIGHT;Volvo Penta;Volvo Penta;TAMD162;4;300;20,00;20,450;20,000;1996-09;0;SIHZ;AB;Sweden;6100;1996-09;14;10144;Charterfrakt Baltic Carrier AB;5464944;20100701;5,700;320;Krupp MaK Maschinenbau GmbH - Kiel;6;MaK;6M32;480;4;Oil;2;600;Sweden;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Charterfrakt Baltic Carrier AB;Sweden;9708;1995-10;0,000;2018-04-09;1996-05;134,400;265425000;Charterfrakt Baltic Carrier AB;5464944;1995-00;Oil Engine(s), Geared Drive;0;Baltic Bright;1796602;0;;;0;15,00;Ro-Ro Cargo Ship;Ro-ro cargo 500-999 LM;Karlskronavarvet;SWD014031;Charterfrakt Baltic Carrier AB;5464944;In Service/Commission;Charterfrakt Baltic Carrier AB;5464944;293;1996
9129586;MONT VENTOUX;Caterpillar;Caterpillar;3512TA;4;1110;25,20;25,225;25,200;1996-03;0;MGTT6;RI;Italy;13364;1996-03;15,7;0;Northern Marine Ferries Ltd;5776234;20160429;7,800;580;MAN B&W Diesel A/S - Denmark;8;MAN;8L58/64;640;4;Oil;1;428;United Kingdom;129,00;1395,00;0,00;35,00;Distillate Fuel;Residual Fuel;0;Stena AB;Sweden;18469;1994-11;39,600;2018-10-24;1995-08;183,100;235008500;CMA CGM SA The French Line;0194433;1994-00;Oil Engine(s), Geared Drive;50;Stena North Sea Ltd;5039921;0;;;0;19,70;Ro-Ro Cargo Ship;Ro-ro cargo 2,000-2,999 LM;Visentini Cantiere Navale Srl;ITL068060;Stena Line BV;1694116;In Service/Commission;Northern Marine Ferries Ltd;5776234;900;1996
